© 2000-2020 QIAGEN. All rights reserved.

Analysis Details for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Workspace	My Projects
Project	igor_misc
Analysis	ndr_vs_wt_all - 2020-11-20 05:39 PM
Date	Fri Nov 20 08:39:11 PST 2020
Analysis ID	22292172

Analysis Settings
Cutoff before duplicate resolution	true
Resolve duplicate on	Expression logfoldchange
Color using	Expression logfoldchange
Cutoff for Expression logfoldchange	--
Cutoff for Expression pvalue	0.05
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	Yes
Optional Analyses	My Pathways My List
Filter Summary	
Consider only molecules and/or relationships where
(species = Mouse) AND
(confidence = Experimentally Observed) AND
(mol. types = biologic drug OR canonical pathway OR chemical - endogenous mammalian OR chemical - endogenous non-mammalian OR chemical - kinase inhibitor OR chemical - other OR chemical - protease inhibitor OR chemical drug OR chemical reagent OR chemical toxicant OR complex OR cytokine OR disease OR enzyme OR function OR fusion gene/product OR G-protein coupled receptor OR group OR growth factor OR ion channel OR kinase OR ligand-dependent nuclear receptor OR mature microRNA OR microRNA OR other OR peptidase OR phosphatase OR transcription regulator OR translation regulator OR transmembrane receptor OR transporter)

Canonical Pathways for My Projects->igor_misc->ndr_vs_wt_all - 2020-11-20 05:39 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Basal Cell Carcinoma Signaling	-0E00	-2.0	7.25E-02	BMP5,FZD1,FZD8,WNT2,WNT5A	
CCR3 Signaling in Eosinophils	-0E00	1.3416407864998738	5.98E-02	MAPK13,MYLK,PAK1,PIK3R1,PIK3R5,RASD1,RRAS	
CCR5 Signaling in Macrophages	-0E00		8.89E-02	CACNA1B,CACNB2,CACNB4,FAS,FCER1G,FOS,JUN,MAPK13	
CNTF Signaling	-0E00	0.0	8.93E-02	LIFR,PIK3R1,PIK3R5,RASD1,RRAS	
CTLA4 Signaling in Cytotoxic T Lymphocytes	-0E00		8.64E-02	CD86,FCER1G,HLA-A,PIK3R1,PIK3R5,PPP2R2B,PPP2R5B	
Calcium Signaling	-0E00	-0.5773502691896258	8.72E-02	CABIN1,CACNA1B,CACNB2,CACNB4,CASQ1,CHRNA4,GRIA2,GRIA3,GRIN3B,GRINA,HDAC11,MYH10,MYL4,PRKAG2,PRKAR2B,TNNT1,Tpm1	
Calcium-induced T Lymphocyte Apoptosis	-0E00		6.90E-02	CABIN1,FCER1G,HLA-A,NR4A1	
Cancer Drug Resistance By Drug Efflux	-0E00		8.62E-02	ABCG2,FOXO3,PIK3R1,RASD1,RRAS	
Cardiac β-adrenergic Signaling	-0E00	0.6324555320336759	8.33E-02	ADCY2,AKAP12,GDPD1,PDE6H,PKIA,PPP1R3C,PPP2R2B,PPP2R5B,PRKAG2,PRKAR2B,SMPDL3B	
Cardiomyocyte Differentiation via BMP Receptors	-0E00		5.88E-02	BMP5	
Cell Cycle Control of Chromosomal Replication	-0E00		1.89E-02	ORC5	
Cell Cycle Regulation by BTG Family Proteins	-0E00		8.57E-02	BTG2,PPP2R2B,PPP2R5B	
Cell Cycle: G1/S Checkpoint Regulation	-0E00		4.69E-02	CDC25A,CDKN2B,HDAC11	
Cell Cycle: G2/M DNA Damage Checkpoint Regulation	-0E00		2.04E-02	YWHAZ	
Chemokine Signaling	-0E00	1.3416407864998738	8.00E-02	CXCL12,FOS,JUN,MAPK13,RASD1,RRAS	
Coronavirus Pathogenesis Pathway	-0E00	2.886751345948129	8.76E-02	ACE,BAX,FOS,IL1B,JUN,MAPK13,NFKB2,NFKBIA,NLRP3,SERPINE1,STING1,TMPRSS2	
Cyclins and Cell Cycle Regulation	-0E00	-1.0	6.41E-02	CDC25A,CDKN2B,HDAC11,PPP2R2B,PPP2R5B	
D-myo-inositol (1,3,4)-trisphosphate Biosynthesis	-0E00		5.56E-02	INPP5J	
D-myo-inositol (1,4,5)-Trisphosphate Biosynthesis	-0E00		4.00E-02	PI4K2B	
DNA Methylation and Transcriptional Repression Signaling	-0E00		2.94E-02	DNMT3B	
Differential Regulation of Cytokine Production in Macrophages and T Helper Cells by IL-17A and IL-17F	-0E00		6.67E-02	IL1B	
Dopamine-DARPP32 Feedback in cAMP Signaling	-0E00	1.2649110640673518	7.55E-02	ADCY2,GRIN3B,GRINA,KCNJ2,NOTUM,PAWR,PPP1R1B,PPP1R3C,PPP2R2B,PPP2R5B,PRKAG2,PRKAR2B	
EIF2 Signaling	-0E00	0.3779644730092272	3.90E-02	ATF3,PIK3R1,PIK3R5,PPP1R15A,RASD1,RRAS,SREBF1,TRIB3	
Endocannabinoid Developing Neuron Pathway	-0E00	1.1338934190276817	8.77E-02	ADCY2,MAPK13,MGLL,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,RAC2,RASD1,RRAS	
Endometrial Cancer Signaling	-0E00	0.0	8.33E-02	FOXO3,PIK3R1,PIK3R5,RASD1,RRAS	
Ephrin A Signaling	-0E00		8.70E-02	NGFR,PAK1,PIK3R1,PIK3R5	
Epithelial Adherens Junction Signaling	-0E00		8.97E-02	ACVR1B,ARPC1B,EGFR,FGF1,MYH10,MYL4,RASD1,RRAS,SNAI2,TUBA8,TUBB3,TUBB6,ZYX	
ErbB4 Signaling	-0E00	0.4472135954999579	9.09E-02	ERBB4,Nrg1,PIK3R1,PIK3R5,RASD1,RRAS	
Estrogen-mediated S-phase Entry	-0E00		7.69E-02	CDC25A,ESR1	
FAT10 Signaling Pathway	-0E00		5.56E-02	UBD	
FGF Signaling	-0E00	-0.4472135954999579	5.95E-02	FGF1,FGFRL1,MAPK13,PIK3R1,PIK3R5	
Factors Promoting Cardiogenesis in Vertebrates	-0E00	-2.6457513110645903	4.86E-02	ACVR1B,BMP5,FZD1,FZD8,NOTUM,WNT2,WNT5A	
Fc Epsilon RI Signaling	-0E00	1.1338934190276817	7.08E-02	FCER1G,INPP5J,MAPK13,PIK3R1,PIK3R5,RAC2,RASD1,RRAS	
GABA Receptor Signaling	-0E00		7.69E-02	ADCY2,CACNA1B,CACNB2,CACNB4,KCNN4,SLC6A11,UBD	
GADD45 Signaling	-0E00		5.26E-02	GADD45B	
GPCR-Mediated Nutrient Sensing in Enteroendocrine Cells	-0E00	0.0	9.09E-02	ADCY2,CACNA1B,CACNB2,CACNB4,GNA14,GNA15,NOTUM,PRKAG2,PRKAR2B,RAPGEF4	
Gap Junction Signaling	-0E00		8.81E-02	ADCY2,EGFR,GJA10,GRIA2,GRIA3,GUCY2C,NOTUM,NPR3,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,RASD1,RRAS,TUBA8,TUBB3,TUBB6	
Glioma Signaling	-0E00	0.8164965809277261	7.34E-02	CDKN2B,EGFR,IGF1,PDGFA,PIK3R1,PIK3R5,RASD1,RRAS	
Guanosine Nucleotides Degradation III	-0E00		8.33E-02	NT5E	
HIPPO signaling	-0E00	-0.8164965809277261	8.43E-02	AJUBA,PPP1R3C,PPP2R2B,PPP2R5B,RASSF1,RASSF6,YWHAZ	
Hematopoiesis from Pluripotent Stem Cells	-0E00		5.41E-02	FCER1G,LIF	
Hereditary Breast Cancer Signaling	-0E00		5.11E-02	GADD45B,HDAC11,PIK3R1,PIK3R5,RASD1,RRAS,UBD	
Huntington's Disease Signaling	-0E00	0.5	8.81E-02	BAX,CACNA1B,CAPN1,CAPN5,CASP4,CASQ1,CTSD,EGFR,GNA14,GNA15,HDAC11,Hspa1b,IFT57,IGF1,JUN,NGF,PIK3R1,PIK3R5,SNCA,UBD	
Hypoxia Signaling in the Cardiovascular System	-0E00		4.05E-02	JUN,NFKBIA,SLC2A4	
Inhibition of Angiogenesis by TSP1	-0E00		9.09E-02	JUN,MAPK13,SDC1	
Interferon Signaling	-0E00		3.23E-02	BAX	
Kinetochore Metaphase Signaling Pathway	-0E00	0.4472135954999579	6.00E-02	ARPP19,CENPT,MAD2L2,PPP1R3C,PPP2R5B,SPC25	
Lipid Antigen Presentation by CD1	-0E00		5.00E-02	FCER1G	
Mechanisms of Viral Exit from Host Cells	-0E00		2.56E-02	VPS37C	
Melanocyte Development and Pigmentation Signaling	-0E00	0.8164965809277261	8.60E-02	ADCY2,DCT,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,RASD1,RRAS	
Melanoma Signaling	-0E00		8.00E-02	PIK3R1,PIK3R5,RASD1,RRAS	
Melatonin Signaling	-0E00	-1.0	7.25E-02	NOTUM,PRKAG2,PRKAR2B,RORC,SLC2A4	
Mitochondrial Dysfunction	-0E00		5.63E-02	BACE2,CAT,COX7A1,CPT1B,CPT1C,GPX4,GSR,MAOB,SNCA	
Mitotic Roles of Polo-Like Kinase	-0E00		7.81E-02	CAPN1,CDC25A,PLK3,PPP2R2B,PPP2R5B	
NAD Salvage Pathway II	-0E00		4.55E-02	NT5E	
Nitric Oxide Signaling in the Cardiovascular System	-0E00	0.0	7.37E-02	ARG2,GUCY2C,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,PROK1	
Nur77 Signaling in T Lymphocytes	-0E00	1.0	6.45E-02	CABIN1,CD86,FCER1G,NR4A1	
OX40 Signaling Pathway	-0E00	1.0	7.69E-02	FCER1G,HLA-A,JUN,NFKB2,NFKBIA	
Oxidative Phosphorylation	-0E00		1.00E-02	COX7A1	
Phospholipases	-0E00	1.0	8.33E-02	HMOX1,NOTUM,PLA2G7,PLD3,Pld6	
Polyamine Regulation in Colon Cancer	-0E00		4.55E-02	MXD1	
Primary Immunodeficiency Signaling	-0E00		7.32E-02	ADA,BLNK,JAK3	
Prostate Cancer Signaling	-0E00		7.69E-02	GSTP1,NFKB2,NFKBIA,PIK3R1,PIK3R5,RASD1,RRAS	
Protein Kinase A Signaling	-0E00	-0.6	8.53E-02	ADCY2,ADD2,AKAP12,CDC25A,DUSP1,DUSP10,DUSP5,DUSP8,DUSP9,EPM2A,FLNA,GDPD1,MYH10,MYL12A,MYL12B,MYL4,MYLK,NFKB2,NFKBIA,NGFR,NOTUM,PDE6H,PPP1R1B,PPP1R3C,PRKAG2,PRKAR2B,PTPRB,Ptprd,PTPRT,SMPDL3B,TNS2,YWHAZ	
Protein Ubiquitination Pathway	-0E00		3.44E-02	BIRC3,DNAJC10,DNAJC12,HLA-A,HSPA4L,HSPB8,PSMD8,UBD,USP20	
Pyrimidine Deoxyribonucleotides De Novo Biosynthesis I	-0E00		4.55E-02	AK7	
Regulation of IL-2 Expression in Activated and Anergic T Lymphocytes	-0E00		7.87E-02	FOS,IKBKE,JUN,NFKB2,NFKBIA,RASD1,RRAS	
Regulation of eIF4 and p70S6K Signaling	-0E00	0.0	7.01E-02	EIF4EBP3,ITGA3,ITGA6,ITGB2,MAPK13,PIK3R1,PIK3R5,PPP2R2B,PPP2R5B,RASD1,RRAS	
Retinoic acid Mediated Apoptosis Signaling	-0E00		6.82E-02	PARP3,RARB,TNFRSF10A	
Role of CHK Proteins in Cell Cycle Checkpoint Control	-0E00		5.45E-02	CDC25A,PPP2R2B,PPP2R5B	
Role of Cytokines in Mediating Communication between Immune Cells	-0E00		8.11E-02	IL1B,IL1RN,IL36G	
Role of JAK1, JAK2 and TYK2 in Interferon Signaling	-0E00		4.76E-02	NFKB2	
Role of MAPK Signaling in the Pathogenesis of Influenza	-0E00		7.89E-02	BAX,CXCL10,MAPK13,PLA2G7,RASD1,RRAS	
Role of NFAT in Cardiac Hypertrophy	-0E00	-0.2581988897471611	8.13E-02	ADCY2,CABIN1,CACNA1B,CACNB2,CACNB4,CTF1,HDAC11,IGF1,LIF,MAPK13,NOTUM,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,RASD1,RRAS	
Role of Oct4 in Mammalian Embryonic Stem Cell Pluripotency	-0E00		6.67E-02	FOXA2,NR6A1,SALL4	
Role of RIG1-like Receptors in Antiviral Innate Immunity	-0E00		9.09E-02	IKBKE,NFKB2,NFKBIA	
Role of Wnt/GSK-3β Signaling in the Pathogenesis of Influenza	-0E00	-2.0	6.15E-02	FZD1,FZD8,WNT2,WNT5A	
Role of p14/p19ARF in Tumor Suppression	-0E00		7.41E-02	PIK3R1,PIK3R5	
Serotonin Receptor Signaling	-0E00		7.69E-02	ADCY2,MAOB,SMOX	
Sperm Motility	-0E00	0.0	9.00E-02	BLK,CSF2RA,DDR1,DYRK3,EGFR,EPHB1,ERBB4,FES,FGR,HCK,JAK3,NOTUM,NTRK2,PLA2G7,PRKAG2,PRKAR2B,ROR1,SLC16A10,ZAN	
Spliceosomal Cycle	-0E00		2.27E-02	CTNNBL1	
Superpathway of D-myo-inositol (1,4,5)-trisphosphate Metabolism	-0E00		8.70E-02	IMPA1,INPP5J	
Systemic Lupus Erythematosus In T Cell Signaling Pathway	-0E00	0.19245008972987526	8.94E-02	CASP4,CASQ1,CD86,ESR1,FAS,FCER1G,FOS,GNA12,HLA-A,ICOSLG/LOC102723996,JUN,LEPR,NOS2,PIK3R1,PIK3R5,PPP2R2B,PPP2R5B,RAC2,RASD1,RHOBTB1,RHOC,RHOU,RHOV,RND2,RORC,RRAS,SELPLG	
T Cell Receptor Signaling	-0E00		8.57E-02	FOS,IKBKE,JUN,NFKB2,NFKBIA,PIK3R1,PIK3R5,RASD1,RRAS	
TCA Cycle II (Eukaryotic)	-0E00		4.35E-02	SUCLG1	
Urate Biosynthesis/Inosine 5'-phosphate Degradation	-0E00		7.69E-02	NT5E	
VEGF Family Ligand-Receptor Interactions	-0E00	1.0	6.10E-02	FOS,PIK3R1,PIK3R5,RASD1,RRAS	
VEGF Signaling	-0E00	0.0	6.25E-02	FOXO3,PIK3R1,PIK3R5,PROK1,RASD1,RRAS	
Wnt/β-catenin Signaling	-0E00	-0.2773500981126146	8.33E-02	ACVR1B,FRAT1,FRZB,FZD1,FZD8,JUN,PPP2R2B,PPP2R5B,RARB,SOX5,UBD,WIF1,WNT2,WNT5A	
mTOR Signaling	-0E00	1.9414506867883021	9.09E-02	HMOX1,PIK3R1,PIK3R5,PLD3,Pld6,PPP2R2B,PPP2R5B,PRKAA2,PRKAG2,PROK1,RAC2,RASD1,RHOBTB1,RHOC,RHOU,RHOV,RND2,RRAS	
nNOS Signaling in Skeletal Muscle Cells	-0E00		7.50E-02	CACNA1B,CACNB2,CACNB4	
tRNA Charging	-0E00		2.63E-02	VARS1	
tRNA Splicing	-0E00		7.32E-02	GDPD1,PDE6H,SMPDL3B	
α-Adrenergic Signaling	-0E00		6.45E-02	ADCY2,EPM2A,PRKAG2,PRKAR2B,RASD1,RRAS	
Calcium Transport I	2.08E-01		1.00E-01	ANXA5	
Embryonic Stem Cell Differentiation into Cardiac Lineages	2.08E-01		1.00E-01	SP4	
NAD Phosphorylation and Dephosphorylation	2.08E-01		1.00E-01	NADK2	
NAD biosynthesis II (from tryptophan)	2.08E-01		1.00E-01	AFMID	
Cysteine Biosynthesis III (mammalia)	2.31E-01		9.52E-02	AHCY,MGMT	
Heme Biosynthesis II	2.36E-01		1.11E-01	HMBS	
SPINK1 Pancreatic Cancer Pathway	2.5E-01	-0.4472135954999579	9.26E-02	ELANE,F2RL1,KLKB1,MMP12,SPINK1	
BAG2 Signaling Pathway	2.61E-01	1.0	9.52E-02	ANXA2,Hspa1b,MAPT,NFKB2	
Pyrimidine Ribonucleotides De Novo Biosynthesis	2.61E-01	0.0	9.52E-02	AK7,ENTPD1,ENTPD8,SLC25A42	
Remodeling of Epithelial Adherens Junctions	2.65E-01		9.38E-02	ARPC1B,MAPRE3,TUBA8,TUBB3,TUBB6,ZYX	
GDNF Family Ligand-Receptor Interactions	2.66E-01	1.3416407864998738	9.33E-02	FOS,JUN,PDLIM7,PIK3R1,PIK3R5,RASD1,RRAS	
Virus Entry via Endocytic Pathways	2.68E-01		9.28E-02	CXADR,FLNA,HLA-A,ITGB2,PIK3R1,PIK3R5,RAC2,RASD1,RRAS	
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses	2.69E-01	2.1213203435596424	9.22E-02	C5AR1,CLCF1,CLEC6A,CLEC7A,IL1B,IL36G,LIF,NFKB2,NLRP3,PIK3R1,PIK3R5,TLR2,TNFSF14	
Sphingomyelin Metabolism	2.69E-01		1.25E-01	SMPD3	
Methionine Degradation I (to Homocysteine)	2.74E-01		1.05E-01	AHCY,MGMT	
Role of PI3K/AKT Signaling in the Pathogenesis of Influenza	2.78E-01	0.0	9.62E-02	NFKB2,NFKBIA,PIK3R1,PIK3R5,PLAC8	
Pyrimidine Ribonucleotides Interconversion	2.94E-01	0.0	1.00E-01	AK7,ENTPD1,ENTPD8,SLC25A42	
Cytotoxic T Lymphocyte-mediated Apoptosis of Target Cells	2.96E-01		1.03E-01	FAS,FCER1G,HLA-A	
Synaptic Long Term Potentiation	2.97E-01	0.30151134457776363	9.45E-02	GNA14,GNA15,GRIA2,GRIA3,GRIN3B,GRINA,NOTUM,PPP1R3C,PRKAG2,PRKAR2B,RASD1,RRAS	
Inhibition of ARE-Mediated mRNA Degradation Pathway	2.98E-01	0.30151134457776363	9.48E-02	CNOT8,MAPK13,NGFR,PPP2R2B,PPP2R5B,PRKAG2,PRKAR2B,TNFRSF1A,TNFSF14,YWHAZ,ZFP36	
Sirtuin Signaling Pathway	3E-01	-1.4142135623730951	9.33E-02	ABCA1,ACLY,ARG2,ATG3,BAX,CPT1B,CPT1C,FOXO3,G6PD,GADD45B,GLUD1,HMGCS2,JUN,LDHB,NAMPT,NFKB2,NOS2,PCK2,POLR1B,PPARA,PRKAA2,RARB,SOD3,SREBF1,TUBA8	
Ovarian Cancer Signaling	3.05E-01	0.0	9.49E-02	EGFR,FZD1,FZD8,MMP2,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,PROK1,RASD1,RRAS,WNT2,WNT5A	
Glycoaminoglycan-protein Linkage Region Biosynthesis	3.09E-01		1.43E-01	XYLT2	
Thioredoxin Pathway	3.09E-01		1.43E-01	TXNRD1	
Gαs Signaling	3.1E-01	0.6324555320336759	9.62E-02	ADCY2,ADD2,HCAR2,HCK,PRKAG2,PRKAR2B,PTGIR,RAPGEF4,RGS2,VIPR1	
iCOS-iCOSL Signaling in T Helper Cells	3.1E-01	0.8164965809277261	9.62E-02	CD86,FCER1G,HLA-A,ICOSLG/LOC102723996,IKBKE,NFKB2,NFKBIA,PIK3R1,PIK3R5,PLEKHA4	
PD-1, PD-L1 cancer immunotherapy pathway	3.12E-01	0.3333333333333333	9.68E-02	HLA-A,JAK3,NGFR,PDCD4,PIK3R1,PIK3R5,STAT5A,STAT5B,TNFRSF1A	
HER-2 Signaling in Breast Cancer	3.14E-01		9.76E-02	AREG,EGFR,ITGB2,MMP2,PIK3R1,PIK3R5,RASD1,RRAS	
Regulation of the Epithelial-Mesenchymal Transition Pathway	3.16E-01		9.47E-02	EGFR,EGR1,FGF1,FGFRL1,FZD1,FZD8,JAK3,LOX,MMP2,NFKB2,PIK3R1,PIK3R5,PYGO1,RASD1,RRAS,SNAI2,WNT2,WNT5A	
Telomerase Signaling	3.21E-01	0.0	9.71E-02	EGFR,ELF3,HDAC11,PIK3R1,PIK3R5,PPP2R2B,PPP2R5B,RASD1,RRAS,TERT	
Salvage Pathways of Pyrimidine Ribonucleotides	3.24E-01	1.414213562373095	9.78E-02	AK7,DAPK1,DMPK,MAP3K6,MAP3K8,PAK1,PIM1,PRKAA2,UPP1	
D-myo-inositol (1,4,5)-trisphosphate Degradation	3.26E-01		1.18E-01	IMPA1,INPP5J	
Dermatan Sulfate Degradation (Metazoa)	3.26E-01		1.18E-01	FGFRL1,GM2A	
Differential Regulation of Cytokine Production in Intestinal Epithelial Cells by IL-17A and IL-17F	3.26E-01		1.18E-01	IL1B,LCN2	
Purine Nucleotides Degradation II (Aerobic)	3.26E-01		1.18E-01	ADA,NT5E	
Cellular Effects of Sildenafil (Viagra)	3.27E-01		9.68E-02	ADCY2,GUCY2C,KCNN4,MYH10,MYL12A,MYL12B,MYL4,MYLK,NOTUM,PRKAG2,PRKAR2B,SLC4A5	
fMLP Signaling in Neutrophils	3.3E-01	1.6666666666666667	9.73E-02	ARPC1B,CYBB,FPR2,NCF1,NCF2,NFKB2,NFKBIA,PIK3R1,PIK3R5,RASD1,RRAS	
Autoimmune Thyroid Disease Signaling	3.3E-01		1.05E-01	CD86,FAS,FCER1G,HLA-A	
GPCR-Mediated Integration of Enteroendocrine Signaling Exemplified by an L Cell	3.31E-01	0.3779644730092272	1.00E-01	ADCY2,GNA14,GNA15,NOTUM,PRKAG2,PRKAR2B,VIPR1	
Chronic Myeloid Leukemia Signaling	3.33E-01		9.80E-02	CBLC,HDAC11,IKBKE,NFKB2,PIK3R1,PIK3R5,RASD1,RRAS,STAT5A,STAT5B	
Sonic Hedgehog Signaling	3.39E-01		1.11E-01	ARRB2,PRKAG2,PRKAR2B	
IL-4 Signaling	3.4E-01		1.00E-01	HLA-A,INPP5J,JAK3,PIK3R1,PIK3R5,RASD1,RRAS,STAT6	
Mouse Embryonic Stem Cell Pluripotency	3.45E-01	0.3333333333333333	9.90E-02	FZD1,FZD8,JAK3,LIF,LIFR,MAPK13,PIK3R1,PIK3R5,RASD1,RRAS	
Role of IL-17F in Allergic Inflammatory Airway Diseases	3.5E-01		1.08E-01	CXCL10,IGF1,IL1B,NFKB2	
Autophagy	3.52E-01		1.03E-01	ATG3,CTSD,CTSE,CTSG,Ctsj,CTSZ	
cAMP-mediated signaling	3.52E-01	0.4472135954999579	9.63E-02	ADCY2,AKAP12,APLNR,CXCR2,DUSP1,DUSP9,FPR2,GDPD1,HCAR2,LTB4R,NPR3,PDE6H,PKIA,PRKAR2B,PTGIR,RAPGEF4,RGS18,RGS2,S1PR1,SMPDL3B,VIPR1	
Human Embryonic Stem Cell Pluripotency	3.56E-01		9.85E-02	BMP5,FGFRL1,FZD1,FZD8,NGF,NTRK2,PDGFA,PIK3R1,PIK3R5,S1PR1,SALL4,WNT2,WNT5A	
Chondroitin Sulfate Degradation (Metazoa)	3.56E-01		1.25E-01	GALNS,GM2A	
Extrinsic Prothrombin Activation Pathway	3.56E-01		1.25E-01	F13A1,F13B	
γ-linolenate Biosynthesis II (Animals)	3.56E-01		1.25E-01	ACSL1,ACSL4	
Acetyl-CoA Biosynthesis I (Pyruvate Dehydrogenase Complex)	3.57E-01		1.67E-01	DBT	
GDP-mannose Biosynthesis	3.57E-01		1.67E-01	GPI	
Glycerol Degradation I	3.57E-01		1.67E-01	Gk	
Glycogen Biosynthesis II (from UDP-D-Glucose)	3.57E-01		1.67E-01	EPM2A	
Pentose Phosphate Pathway (Non-oxidative Branch)	3.57E-01		1.67E-01	TKT	
Salvage Pathways of Pyrimidine Deoxyribonucleotides	3.57E-01		1.67E-01	TK1	
Selenocysteine Biosynthesis II (Archaea and Eukaryotes)	3.57E-01		1.67E-01	SEPSECS	
Tryptophan Degradation to 2-amino-3-carboxymuconate Semialdehyde	3.57E-01		1.67E-01	AFMID	
UDP-N-acetyl-D-glucosamine Biosynthesis II	3.57E-01		1.67E-01	GFPT2	
Urea Cycle	3.57E-01		1.67E-01	ARG2	
eNOS Signaling	3.59E-01	0.0	9.80E-02	ADCY2,AQP3,AQP4,AQP7,AQP8,CHRNA4,ESR1,Hspa1b,LPAR3,PIK3R1,PIK3R5,PRKAA2,PRKAG2,PRKAR2B,PROK1	
Opioid Signaling Pathway	3.63E-01	0.22941573387056174	9.66E-02	ADCY2,ARRB2,BLK,CACNA1B,CACNB2,CACNB4,FGR,FOS,FOSB,GRIN3B,GRINA,HCK,NFKB2,NFKBIA,PRKAG2,PRKAR2B,RAC2,RASD1,RGS1,RGS16,RGS18,RRAS,SCN7A	
Apelin Liver Signaling Pathway	3.64E-01		1.15E-01	APLNR,COL5A3,FAS	
Corticotropin Releasing Hormone Signaling	3.74E-01	1.9414506867883021	9.93E-02	ADCY2,CACNA1B,CACNB2,CACNB4,FOS,GUCY2C,JUN,JUND,MAPK13,NOS2,NPR3,NR4A1,PRKAG2,PRKAR2B	
Gustation Pathway	3.85E-01		1.00E-01	ADCY2,CACNA1B,CACNB2,CACNB4,GDPD1,P2RX3,P2RX4,P2RY2,P2RY4,P2RY6,PDE6H,PRKAG2,PRKAR2B,SMPDL3B	
Insulin Secretion Signaling Pathway	3.89E-01	1.0425720702853738	9.79E-02	ADCY2,EIF4EBP3,FGR,GHR,GNA14,GNA15,HCK,JAK3,KCNB1,MAPK13,NOTUM,PIK3R1,PIK3R5,PRKAG2,PRKAR2B,PRLR,RAPGEF4,SLC2A3,SLC2A4,STAT4,STAT5A,STAT5B,STAT6	
RhoA Signaling	3.96E-01	1.1547005383792517	1.02E-01	ARHGAP9,ARPC1B,CDC42EP5,CIT,GNA12,IGF1,LPAR3,MYL12A,MYL12B,MYL4,MYLK,SEPTIN5	
Apelin Cardiomyocyte Signaling Pathway	3.97E-01	0.0	1.03E-01	APLNR,CAT,MAPK13,MYL12A,MYL12B,MYL4,MYLK,NOTUM,PIK3R1,PIK3R5	
