category	functions	disease	pvalue	state	zscore	bias_zscore	molecules	no_molecules
Inflammatory Disease, Inflammatory Response, Neurological Disease, Organismal Injury and Abnormalities	encephalitis	Encephalitis	6.79e-21	0	1.074	0.79	NSDHL, CX3CR1, MMP2, TNFRSF1A, FDPS, NCF1, SELL, PPARA, VSIR, FCER1G, SREBF2, ALOX5, TRPM2, LSS, STING1, HDC, TYROBP, NFKBIZ, S1PR1, MME, IFI30, SOX5, TNFRSF21, MAS1, NFKB2, AHR, BATF, MYLK, STAT6, SOAT2, BAX, FAS, MVD, SERPINB1, CLEC4E, LGALS1, CCR1, HMGCR, KLKB1, TREM2, KLF4, VIM, SQLE, DUSP1, CD68, NT5E, GSDMD, CCR2, TRPM4, STAT4, MBP, STIM2, NR4A1, CLEC4D, PLAT, MSMO1, GFAP, HLA-A, TM7SF2, CYP51A1, PROCR, RORC, RRAS, DUSP10, Ccl2, Mt1, CD300LF, GADD45B, NFKBIA, SLC33A1, IDI1, MVK, MAP3K8, RGCC, VWF, NGF, CD86, ESR1, DHCR7, IL18R1, PDCD4, EHD3, IL1B, CXCL10, LIF, SPI1, ACKR4, ABCG2, HAVCR2, FCGR2A, PMVK, CDCP1, MMP8, MGLL, F2RL1, UPP1, LAMA5, SDC1, HSD17B7, IL18BP, MAPT, EHD4, MIF, CASP4, HMGCS1, SPN, SGPL1, MPO, FDFT1, Irgm1, NOS2, NGFR, DHCR24, NLRP3, LGALS3, EGR2, TIMP1, HPX	118
Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	inflammation of the large intestine	Inflammation of the large intestine	1.18e-20	0	-1.68	-1.032	NLRP12, TNFRSF1A, RASGRP4, NCF1, JAK3, PPARA, TRIM58, PKM, ARHGDIB, FOS, LILRB4, STING1, HP, MS4A6A, Igtp, HCAR2, TLR2, Saa3, LRG1, S1PR1, PON1, NCF4, MME, LAPTM5, SERPINA3, LCN2, LYZ, AHR, RNF186, Serpina3g (includes others), CXCR2, BATF, STAT6, ADM, Slfn1, TNFRSF12A, STAT5B, IFI16, FAS, CD53, Retnlg, ENTPD1, CLEC4E, APOA4, CCR1, SOCS3, IL6R, LBP, CAMP, CCL3L3, AREG, CD177, STAT5A, CEBPE, NT5E, SPRR1A, STEAP4, CCR2, S100A8, STAT4, CD79B, S100A9, Ms4a4c (includes others), RORC, DUSP10, Ccl2, Cd52, DHRS9, SEL1L, NFKBIA, IL1RN, PLS1, MPEG1, IL18R1, IL1B, CXCL10, FPR2, DUOXA2, CXCL3, NLRP6, CYBB, PGLYRP2, TNFAIP8, ACOD1, F2RL1, ABCB4, PIK3R1, TFF3, TREM1, MZB1, IL17RB, CLCN5, GPNMB, NOS2, TNFAIP3, GBP6, NLRP3, TIMP1, Ly6a (includes others), ICAM1	100
Connective Tissue Disorders, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	inflammation	Inflammation of joint	1.32e-20	0	1.769	1.55	Ccl2, Ccl6, ALOX5AP, MMP2, TNFRSF1A, FCGR1A, RASGRP4, NQO2, NCF1, CSF3R, CCL20, HTRA1, FGR, FCER1G, IL1R2, NFKBIA, FOS, SAA1, STING1, IL1RN, C5AR1, TYROBP, MS4A6A, ZFP36, SLC11A1, Saa3, TLR2, PTGIR, MACIR, GPI, IL1B, TNFRSF21, FPR2, CLEC5A, CTSG, IGF1, FCGR2A, ANXA1, LTF, SOD3, AHR, SLFN12L, SELP, CXCR2, MASP2, Slfn2, STAT6, ELANE, Slfn1, CFP, CXCL3, FAS, FOXO3, PGLYRP2, ITGAM, CXCL12, HCK, F2RL1, GLIPR2, SOCS3, CCR1, PGLYRP1, IL6R, BCL3, F13A1, SELE, IL15RA, LEPR, CCL3L3, AREG, LDLR, DUSP1, Ms4a6c, IL18BP, MAPT, MIF, SLC39A8, CCR2, Ccl7, STAT4, CSF2RB, CLEC4D, ICOSLG/LOC102723996, PLAT, CXCL2, LECT2, HMOX1, CLEC4A, Ms4a4c (includes others), HLA-A, LTB4R, TNFAIP3, NLRP3, NAMPT, PROCR	95
Lipid Metabolism, Small Molecule Biochemistry	metabolism	Fatty acid metabolism	1.53e-20	0	1.227	0.184	ERBB4, TNFRSF1A, PRKAR2B, DPEP2, NCF1, PPARA, FGR, FCER1G, ALOX5, LSS, SNCA, GHR, SCP2, CYP1B1, ABCC3, ABCA7, ABCG5, Gk, CLU, ACACB, DECR1, STAT5B, FAS, PLTP, Acnat1/Acnat2, APOA4, FASN, NPC2, APOF, LBP, CAMP, LEPR, CCL3L3, STAT5A, ACSM3, FA2H, RELN, S100A8, SREBF1, ACOT12, S100A9, ELOVL5, CES1, ACSL4, GGT5, LTB4R, SLC2A4, CROT, CEBPB, ACOT2, Stra6l, Ccl2, ALOX5AP, TRIB3, CYP2E1, NFKBIA, ANGPTL4, LPIN1, SAA1, MAP3K8, ANO6, MFSD2B, VWF, ACOT4, SLC36A1, INSIG1, AEBP1, HLF, FABP4, IL1B, CD14, B3GALT1, ERFE, CPT1B, ACOT9, TMEM30A, ANXA1, VNN1, ACOT1, CXCL3, MGLL, CLEC7A, F2RL1, PLSCR1, ABCB4, SLC51B, LDLR, ACSL1, MIF, Acot1, SLC22A8, SGPL1, MPO, ABCA1, ABCG8, PDK4, KCNN4, NOS2, SLC13A5	99
Cellular Function and Maintenance	function	Function of phagocytes	1.75e-20	0	0	0	ADA, Ccl2, Mt1, LGMN, CD300LF, FCGR1A, TNFRSF1A, RASGRP4, TRIB3, JAK3, SELL, FGR, GADD45B, FCER1G, CARD9, NFKBIA, BIRC3, CMKLR1, FOS, LILRB4, TRPM2, RELB, CD300A, TYROBP, ZFP36, CD9, FES, TLR2, IL1B, CD14, CXCL10, FPR2, PIM1, LCN2, FCGR2A, RHBDF2, SAMSN1, NFKB2, AHR, GSN, STAT6, CLEC6A, MYO9B, STAT5B, CYBB, CLEC7A, ITGAM, HCK, CLEC4E, CCR1, MMP12, BCL3, IRAK3, LCP1, CX3CL1, ARHGEF5, CAPG, CHI3L1, STAT5A, MARCO, TRAF4, CCR2, TRPM4, PAK1, CSF2RB, PLAUR, SLPI, GPNMB, PLAT, EGR1, TPCN1, PCTP, NOS2, LTB4R, RGS1, NLRP3, RIPK3, CEBPB, LGALS3, ICAM1, P2RY6, SIGLEC9, SUCNR1	83
Gastrointestinal Disease, Inflammatory Disease, Inflammatory Response, Organismal Injury and Abnormalities	colitis	Colitis	2.42e-20	0	-1.207	-0.64	NLRP12, TNFRSF1A, RASGRP4, NCF1, JAK3, PPARA, TRIM58, PKM, ARHGDIB, FOS, LILRB4, STING1, HP, MS4A6A, Igtp, HCAR2, TLR2, Saa3, LRG1, S1PR1, PON1, NCF4, MME, LAPTM5, SERPINA3, LCN2, LYZ, AHR, RNF186, Serpina3g (includes others), CXCR2, BATF, STAT6, ADM, Slfn1, TNFRSF12A, STAT5B, IFI16, FAS, CD53, Retnlg, ENTPD1, CLEC4E, APOA4, SOCS3, IL6R, LBP, CAMP, CCL3L3, AREG, CD177, STAT5A, CEBPE, NT5E, SPRR1A, STEAP4, CCR2, S100A8, STAT4, CD79B, S100A9, Ms4a4c (includes others), RORC, DUSP10, Ccl2, Cd52, DHRS9, SEL1L, NFKBIA, IL1RN, PLS1, MPEG1, IL18R1, IL1B, CXCL10, FPR2, DUOXA2, CXCL3, NLRP6, CYBB, PGLYRP2, TNFAIP8, ACOD1, F2RL1, PIK3R1, TFF3, TREM1, MZB1, IL17RB, CLCN5, GPNMB, NOS2, TNFAIP3, GBP6, NLRP3, TIMP1, Ly6a (includes others), ICAM1	98
Connective Tissue Disorders, Inflammatory Disease, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	rheumatic disease	Rheumatic Disease	2.81e-20	0	1.524	1.398	MMP2, TNFRSF1A, FCGR1A, RASGRP4, NCF1, FGR, FCER1G, TNFRSF9, IL1R2, FOS, STING1, TYROBP, MS4A6A, ZFP36, SLC11A1, Saa3, TLR2, MACIR, TNFRSF21, CTSG, IGF1, AHR, CXCR2, MASP2, STAT6, ELANE, Slfn1, CFP, BAX, FAS, JUNB, ITGAM, CXCL12, SOCS3, CCR1, PGLYRP1, IL6R, LEPR, CCL3L3, AREG, DUSP1, Ms4a6c, CCR2, Ccl7, STAT4, CLEC4D, PLAT, Ms4a4c (includes others), HLA-A, LTB4R, PROCR, ORMDL3, Ccl2, Ccl6, ALOX5AP, NQO2, CSF3R, CCL20, HTRA1, NFKBIA, SAA1, IL1RN, C5AR1, PTGIR, GPI, IL1B, FPR2, CLEC5A, SPI1, FCGR2A, ANXA1, LTF, SOD3, SLFN12L, SELP, Slfn2, CXCL3, FOXO3, PGLYRP2, HCK, F2RL1, GLIPR2, BCL3, F13A1, SELE, IL15RA, LDLR, IL18BP, MAPT, MIF, SLC39A8, CSF2RB, ICOSLG/LOC102723996, CXCL2, LECT2, HMOX1, CLEC4A, TNFAIP3, NAMPT, NLRP3, EGR2	101
Immunological Disease	systemic autoimmune syndrome	Systemic autoimmune syndrome	4.52e-20	0	0.051	0.021	CX3CR1, TNFRSF1A, FCGR1A, NCF1, SELL, FCER1G, TNFRSF9, ITGB2, IL1R2, FOS, Ifi27l2a/Ifi27l2b, LILRB4, CXCR6, CD300A, TYROBP, GHR, MS4A6A, Saa3, TLR2, LILRB3, TNFRSF21, FABP7, CTSG, IGF1, LYZ, CXCR2, STAT6, CLEC6A, ELANE, Slfn1, BAX, IFI16, FAS, JUNB, CXCL12, HPSE, CCR1, PGLYRP1, IL6R, Apol7e (includes others), CCL3L3, S100A4, IRAK3, LCP1, Ms4a6c, NT5E, CCR2, IPCEF1, Ccl7, STAT4, CLEC4D, CD79B, S100A6, GALNT6, Ms4a4c (includes others), HLA-A, Gm4951, TMEM71, Ccl2, Ccl6, ALOX5AP, CSF3R, CCL20, SPIB, SAA1, IL1RN, TCF24, C5AR1, RELB, HSD11B1, CD86, MPEG1, PDCD4, IL1B, CXCL10, HAVCR2, FCGR2A, ANXA1, SLFN12L, Slfn2, CYBB, FOXO3, GLIPR2, SIRPB1, CAPG, IL18BP, MZB1, RIDA, CASP4, SPN, PLEK, CSF2RB, ABCA1, MYO1F, FXYD5, GPNMB, CXCL2, CLEC4A, Irgm1, NGFR, TNFAIP3, RGS1, GBP6, EGR2, GUCY2C, Ly6a (includes others), C1orf162, ICAM1, SERPING1	109
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	chemotaxis	Chemotaxis of leukocytes	6.68e-20	Increased	5.067	3.79	Ccl2, CX3CR1, NLRP12, RASGRP4, NEDD9, CSF3R, SELL, CCL20, PIK3R5, FGR, FCER1G, ITGB2, ALOX5, TRPM2, HSD3B7, HP, C5AR1, ANO6, CD9, HCAR2, TLR2, S1PR1, IL1B, TREM3, CXCL10, LILRB3, FPR2, SPI1, LCN2, FCGR2A, ANXA1, NFKB2, SELP, GSN, CXCR2, STAT6, SELPLG, MYO9B, CXCL3, Retnlg, FLOT1, SERPINB1, CXCL12, ITGAM, HCK, CCR1, HPSE, MICOS10-NBL1/NBL1, LBP, LITAF, SELE, CAMP, CCL3L3, RAC2, S100A4, CX3CL1, ARHGEF5, CAPG, LDLR, GPSM3, Pde4d, TREM1, TREML2, MARCO, CTSE, MIF, CCR2, TRPM4, Ccl7, S100A8, ADAM8, TNFSF14, S100A9, MYO1F, CXCL2, CCRL2, LTB4R, RGS1, LGALS3, ICAM1	80
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function	activation	Activation of blood cells	7.32e-20	Increased	3.619	2.93	ADA, CX3CR1, TNFRSF1A, FCGR1A, NCF1, JAK3, VSIR, FCER1G, TNFRSF9, ITGB2, ATF3, ALOX5, DAPP1, TRPM2, SNCA, STING1, TYROBP, FGL1, FOXA2, NFKBIZ, SLC11A1, Saa3, TLR2, LILRB3, LAPTM5, TARM1, Cd24a, SBNO2, CTSG, LCN2, SAMSN1, NFKB2, AHR, PRTN3, IL18RAP, STAT6, ELANE, BAX, STAT5B, FAS, MAOB, ITGAM, ENTPD1, LGALS1, Orm1 (includes others), IL6R, IFNLR1, LBP, CAMP, TREM2, IRAK3, ITGA2B, GFI1B, DCT, DUSP1, STAT5A, CEBPE, TREML2, CCR2, TRPM4, S100A8, STAT4, MBP, F2RL2, NR4A1, CLEC4D, CD79B, PLAT, HLA-A, LTB4R, MMP19, CEBPB, RORC, Ccl2, SHPK, CD300LF, CARD9, NFKBIA, SLC7A2, BRINP1, SAA1, IL1RN, SLC33A1, ADAMTS13, RELB, MAP3K8, ANO6, HSD11B1, VWF, NGF, CD86, PTGIR, IL18R1, BACH2, EGFR, SPON2, IL1B, CD14, CXCL10, ANXA2, HAVCR2, FCGR2A, ANXA1, SELP, SELPLG, CXCL3, CYBB, FOXO3, PGLYRP2, HCK, FGF1, F2RL1, TNFAIP8L2, BCL3, ACE, IL15RA, CCDC88B, MRTFA, LDLR, MAPT, BLNK, MIF, SPN, PLEK, CLCN7, TNFSF14, CSF2RB, ICOSLG/LOC102723996, SLPI, PDK4, GATA1, NOS2, TNFAIP3, NLRP3, LGALS3, CHRNA4, ICAM1, SUCNR1	138
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	cellular infiltration	Cellular infiltration by granulocytes	7.81e-20	Increased	3.482	3.06	Ccl2, ALOX5AP, CD300LF, TNFRSF1A, NQO2, NCF1, JAK3, SELL, PLA2G7, FCER1G, ITGB2, TNFRSF9, NFKBIA, ARRB2, CMKLR1, FOS, TRPM2, IL1RN, C5AR1, ADAMTS13, MAP3K8, VWF, FOXA2, NFKBIZ, TLR2, PTGIR, EGFR, IL1B, FABP4, CXCL10, FPR2, ANXA2, SPI1, CTSG, ANXA1, PRTN3, SELP, MASP2, CXCR2, STAT6, MYLK, MMP8, ELANE, CXCL3, FAS, PLTP, ITGAM, HCK, F2RL1, TNFAIP8L2, CCR1, SOCS3, LGALS1, MMP12, IL6R, SELE, P2RY4, RAC2, OLFM4, DUSP1, TREM1, IL17RB, CCR2, NR4A1, CXCL2, PDK4, NOS2, LTB4R, TNFAIP3, NLRP3, RIPK3, SERPINA1, LGALS3, TIMP1, TNIP1, PROCR, ICAM1	77
Cell-To-Cell Signaling and Interaction	activation	Activation of cells	1.15e-19	Increased	4.064	3.28	ADA, KRT8, KCNJ2, LOX, CX3CR1, GGT1, TNFRSF1A, FCGR1A, NCF1, JAK3, VSIR, FCER1G, ITGB2, TNFRSF9, ATF3, ALOX5, DAPP1, LILRB4, TRPM2, SNCA, STING1, TYROBP, FGL1, FOXA2, NFKBIZ, SLC11A1, Saa3, TLR2, LILRB3, TARM1, LAPTM5, Cd24a, SBNO2, CTSG, LCN2, IGF1, SAMSN1, NFKB2, AHR, PRTN3, IL18RAP, STAT6, ELANE, BAX, STAT5B, FAS, MAOB, PLTP, ENTPD1, ITGAM, LGALS1, Orm1 (includes others), IL6R, IFNLR1, LBP, CACNA1B, CAMP, LEPR, CIDEC, TREM2, IRAK3, VIM, ITGA2B, GFI1B, DCT, DUSP1, STAT5A, GPR39, P2RY2, CEBPE, TREML2, CCR2, TRPM4, S100A8, STAT4, MBP, F2RL2, SMPD3, NR4A1, CLEC4D, CD79B, PLAT, GFAP, HLA-A, LTB4R, MMP19, CEBPB, RORC, P2RY6, Ccl2, Ccl6, SHPK, CD300LF, CARD9, NFKBIA, SLC7A2, BRINP1, IRF6, SAA1, IL1RN, SLC33A1, C5AR1, ADAMTS13, RELB, CAT, MAP3K8, ANO6, RGCC, HSD11B1, VWF, NGF, CD86, PTGIR, IL18R1, BACH2, EGFR, IL1B, SPON2, CXCL10, CD14, ANXA2, LIF, HAVCR2, FCGR2A, ANXA1, SELP, SELPLG, CXCL3, CYBB, FOXO3, PGLYRP2, CLEC7A, HCK, F2RL1, FGF1, TNFAIP8L2, BCL3, F13A1, ACE, IL15RA, CCDC88B, MRTFA, LDLR, GRIA2, MAPT, BLNK, MIF, SCN1B, SPN, PLEK, CLCN7, TNFSF14, CSF2RB, SLPI, ICOSLG/LOC102723996, GPNMB, CXCL2, PDK4, GATA1, KRT18, NOS2, TNFAIP3, NLRP3, LGALS3, CHRNA4, ICAM1, SUCNR1	167
Hematological System Development and Function, Inflammatory Response, Tissue Morphology	quantity	Quantity of neutrophils	2.54e-19	0	-0.368	-0.287	ADA, Ccl2, STX11, Mt1, NLRP12, TNFRSF1A, SALL4, NQO2, CSF3R, JAK3, SELL, PIK3R5, ITGB2, CMKLR1, SLC33A1, HDC, C5AR1, RELB, SNAI2, CD300A, F11, ZFP36, TNFRSF11A, FES, TLR2, PTGIR, CHST3, IL1B, SPI1, C6, PLAC8, LCN2, FCGR2A, ANXA1, AHR, PRTN3, SLFN12L, SELP, GSN, CXCR2, STAT6, SELPLG, MMP8, STAT5B, FAS, CYBB, CLEC7A, SERPINB1, ITGAM, CLEC4E, F2RL1, PLSCR1, ITGA3, SOCS3, HPSE, MMP12, PGLYRP1, SELE, CAMP, CCL3L3, RAC2, IRAK3, SDC1, LDLR, Pde4d, GCNT1, STAT5A, DCN, CCR2, S100A8, CD5L, RAPGEF4, S100A9, SLPI, CXCL2, GATA1, CLEC4A, NOS2, TNFAIP3, SERPINA1, TIMP1, Ly6a (includes others), ICAM1	83
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking	homing	Homing of leukocytes	3.79e-19	Increased	5.395	4.101	Ccl2, CX3CR1, NLRP12, NEDD9, RASGRP4, NQO2, CSF3R, SELL, JAK3, CCL20, PIK3R5, FGR, FCER1G, ITGB2, ALOX5, TRPM2, HSD3B7, HP, C5AR1, ANO6, CD9, HCAR2, TLR2, S1PR1, IL1B, TREM3, CXCL10, LILRB3, FPR2, SPI1, LCN2, FCGR2A, ANXA1, NFKB2, SELP, GSN, CXCR2, BATF, STAT6, SELPLG, MYO9B, CXCL3, Retnlg, FLOT1, SERPINB1, CXCL12, ITGAM, HCK, CCR1, HPSE, MICOS10-NBL1/NBL1, LBP, LITAF, SELE, CAMP, CCL3L3, RAC2, S100A4, CX3CL1, ARHGEF5, CAPG, LDLR, GPSM3, GCNT1, Pde4d, TREM1, TREML2, MARCO, CTSE, MIF, CCR2, TRPM4, Ccl7, S100A8, ADAM8, TNFSF14, S100A9, MYO1F, CXCL2, CCRL2, LTB4R, RGS1, LGALS3, ICAM1	84
Cardiovascular Disease, Organismal Injury and Abnormalities	arteriosclerosis	Arteriosclerosis	4.76e-19	Increased	3.891	3.571	Ccl2, TK1, CX3CR1, TNFRSF1A, ECSCR, ACAT2, NCF1, PPARA, PLA2G7, NFKBIA, ANGPTL4, ALOX5, SAA1, CXCR6, ADAMTS13, VWF, ZFP36, SCP2, TLR2, ESR1, PON1, SLC30A3, IL1B, FABP4, CXCL10, ABCG5, MAS1, LCN2, OLR1, OSMR, VNN1, PCSK9, AHR, SELP, CLU, ARG2, SERPINE1, SOAT2, PLTP, SERPIND1, ENTPD1, ITGAM, APOA4, CCR1, SOCS3, MMP12, DDR1, F13A1, SELE, CCL3L3, TREM2, CX3CL1, LDLR, MIF, CCR2, GCLC, GDF15, SREBF1, MPO, NR4A1, PLAUR, ABCA1, EGR1, ABCG8, CXCL2, CES1, HMOX1, NOS2, LTB4R, TNFAIP3, ACAT1, LGALS3, TIMP1, ICAM1	74
Immunological Disease	hypersensitive reaction	Hypersensitive reaction	9.83e-19	Increased	3.103	2.384	DUSP10, Ccl2, NLRP12, ALOX5AP, CD300LF, FCGR1A, TNFRSF1A, NCF1, SELL, FGR, PLA2G7, FCER1G, ITGB2, ALDOA, TNFRSF9, NFKBIA, ALOX5, CMKLR1, LILRB4, CD63, HDC, RELB, NGF, NFKBIZ, PTGIR, IL1B, SPON2, MME, CXCL10, SOX5, FPR2, LAPTM5, LIF, SPI1, FCGR2A, ANXA1, Pvr, AHR, SELP, STAT6, GPR84, HCK, CLEC4E, STXBP2, F2RL1, CCR1, IL6R, BCL3, LBP, SELE, CAMP, CCL3L3, SDC1, IDO2, CD83, TKT, TPI1, TSC22D3, DUSP1, GCNT1, DCN, MIF, CCR2, TRPM4, NPTX1, TRIP10, NR4A1, CSF2RB, CLEC4D, S100A9, ICOSLG/LOC102723996, CCRL2, NOS2, NGFR, MMP19, NLRP3, CEBPB, Ly6a (includes others), ICAM1, RORC	80
Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	concentration	Concentration of lipid	1.03e-18	Increased	2.274	2.123	CLDN7, TNFRSF1A, PRKAR2B, ACAT2, PPARA, FCER1G, PKM, GLA, SREBF2, ATF3, ALOX5, SNCA, HSD3B7, GHR, FGL1, FOXA2, HCAR2, SCP2, CCDC3, CYP1B1, TLR2, ABCC3, ABCA7, PON1, ADRA1B, CYP17A1, ABCG5, SLC16A2, LCN2, IGF1, SERPINA6, PCSK9, AHR, Gk, CLU, STAT6, P2RX4, A4GALT, ACACB, DECR1, SOAT2, GNAT1, AGPAT4, FAS, PLTP, BTN1A1, JUN, APOA4, ZBTB16, KLKB1, FASN, NPC2, LBP, CACNA1B, CAMP, LEPR, CIDEC, AQP3, CX3CL1, PPP1R3C, DUSP1, Akr1b7, ARHGDIA, P2RY2, NTRK2, LPAR3, STEAP4, FA2H, S100A8, MBP, SREBF1, SMPD3, NR4A1, Scd2, S100A9, DBI, ELOVL5, EGR1, PLAT, CES1, ACSL4, LTB4R, SLC22A1, SLC2A4, CEBPB, TGIF1, GPR12, ACAT1, ACOT2, EPM2A, PLPP3, Ccl2, TLCD3B, NEU3, ALOX5AP, AQP7, ANGPTL4, AQP8, JDP2, LMNA, LPIN1, SAA1, IL1RN, C5AR1, MAP3K8, PNPLA2, CPT1C, RGN, RGCC, HSD11B1, CIDEA, NGF, CTSD, PTGIR, ESR1, DHCR7, DGAT2, FABP2, INSIG1, EGFR, AEBP1, CTF1, IL1B, MOGAT2, FABP4, ERFE, FPR2, LIF, OLR1, CYP26B1, VNN1, MMP8, ABCD2, SERPINE1, SSTR2, CYBB, FOXO3, MGLL, THRB, TTR, FLOT1, LPCAT1, FGF1, SAA2-SAA4, ABCB4, IL15RA, PIK3R1, FITM2, LDLR, ACSL1, TSC22D3, MRAP, SLC4A5, MIF, SEC14L2, Spg20, ELOVL1, G6PD, PPP1R3G, HPGD, SGPL1, MPO, Cyp2j5, ABCA1, HADH, ABCG8, PDK4, CYP4F2, HMOX1, PCTP, SLC34A2, NOS2, PRLR, NGFR, CYP1A2, AGMO, DHCR24, PTDSS1, NAMPT, PRKAA2, ACLY, SLC13A5, LGALS3, TIMP1, TFE3, GUCY2C, ICAM1	187
Cardiovascular Disease, Organismal Injury and Abnormalities	atherosclerosis	Atherosclerosis	1.51e-18	Increased	3.894	3.544	Ccl2, CX3CR1, TNFRSF1A, ECSCR, ACAT2, NCF1, PPARA, PLA2G7, NFKBIA, ANGPTL4, ALOX5, SAA1, CXCR6, ADAMTS13, VWF, ZFP36, SCP2, TLR2, ESR1, PON1, SLC30A3, IL1B, FABP4, CXCL10, ABCG5, MAS1, LCN2, OLR1, OSMR, VNN1, PCSK9, AHR, SELP, CLU, ARG2, SERPINE1, SOAT2, PLTP, SERPIND1, ITGAM, ENTPD1, APOA4, CCR1, SOCS3, MMP12, DDR1, F13A1, SELE, CCL3L3, TREM2, CX3CL1, LDLR, MIF, CCR2, GCLC, GDF15, SREBF1, MPO, NR4A1, PLAUR, ABCA1, EGR1, ABCG8, CXCL2, CES1, HMOX1, NOS2, LTB4R, TNFAIP3, ACAT1, LGALS3, TIMP1, ICAM1	73
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cellular infiltration	Infiltration by neutrophils	1.74e-18	Increased	3.461	3.078	ALOX5AP, CD300LF, TNFRSF1A, NQO2, NCF1, JAK3, SELL, FCER1G, ITGB2, NFKBIA, CMKLR1, TRPM2, IL1RN, C5AR1, ADAMTS13, MAP3K8, VWF, FOXA2, NFKBIZ, TLR2, EGFR, IL1B, FABP4, CXCL10, FPR2, ANXA2, CTSG, ANXA1, PRTN3, SELP, MASP2, CXCR2, STAT6, MMP8, ELANE, CXCL3, FAS, PLTP, ITGAM, TNFAIP8L2, CCR1, SOCS3, LGALS1, MMP12, IL6R, SELE, P2RY4, RAC2, DUSP1, TREM1, CCR2, CXCL2, PDK4, NOS2, LTB4R, TNFAIP3, NLRP3, RIPK3, SERPINA1, LGALS3, TIMP1, TNIP1, PROCR, ICAM1	64
