category	-log10(pvalue)	zscore	ratio	molecules	direction
Production of Nitric Oxide and Reactive Oxygen Species in Macrophages	7.72	3.124	0.233	APOA4, APOF, ARG2, CAT, CLU, CYBA, CYBB, FOS, IKBKE, JAK3, JUN, LYZ, MAP3K6, MAP3K8, MAPK13, MPO, NCF1, NCF2, NCF4, NFKB2, NFKBIA, NGFR, NOS2, PIK3R1, PIK3R5, PON1, PPARA, PPP1R3C, PPP2R2B, PPP2R5B, RAC2, RHOBTB1, RHOC, RHOU, RHOV, RND2, S100A8, SERPINA1, SPI1, TLR2, TNFRSF1A	positive
Melatonin Degradation I	7.51	-1.886	0.4	CYP1A2, CYP1B1, CYP2A6 (includes others), CYP2B6, Cyp2c40 (includes others), CYP2E1, CYP3A7, CYP4F8, CYP51A1, LARGE2, SULT1B1, Sult1d1, UGT2A3, UGT2B10, UGT2B17, UGT2B28, UGT2B7, UGT3A1	negative
Nicotine Degradation II	6.69	-2.065	0.345	CYP1A2, CYP1B1, CYP2A6 (includes others), CYP2B6, Cyp2c40 (includes others), CYP2E1, CYP3A7, CYP4F8, CYP51A1, FMO1, FMO2, INMT, LARGE2, UGT2A3, UGT2B10, UGT2B17, UGT2B28, UGT2B7, UGT3A1	negative
Mevalonate Pathway I	6.63	1.667	0.692	ACAT1, ACAT2, HMGCR, HMGCS1, HMGCS2, IDI1, MVD, MVK, PMVK	positive
Acute Phase Response Signaling	6.38	2.887	0.22	CEBPB, CP, FOS, FTL, HMOX1, HP, HPX, IKBKE, IL1B, IL1RAP, IL1RN, IL36G, IL6R, ITIH2, JUN, KLKB1, LBP, MAPK13, NFKB2, NFKBIA, NGFR, OSMR, PIK3R1, RASD1, RRAS, SAA1, SAA2-SAA4, Saa3, SERPINA1, SERPINA3, SERPIND1, SERPINE1, SERPING1, SOCS3, TNFRSF1A, TTR, VWF	positive
Superpathway of Geranylgeranyldiphosphate Biosynthesis I (via Mevalonate)	6.35	1.897	0.588	ACAT1, ACAT2, FDPS, HMGCR, HMGCS1, HMGCS2, IDI1, MVD, MVK, PMVK	positive
Serotonin Degradation	6.08	-1.698	0.347	ADH4, ALDH1A3, ALDH3B1, Aldh3b3, ALDH4A1, DHRS9, LARGE2, MAOB, SMOX, SULT1B1, Sult1d1, UGT2A3, UGT2B10, UGT2B17, UGT2B28, UGT2B7, UGT3A1	negative
IL-10 Signaling	5.85	0	0.299	ARG2, CCR1, CD14, FCGR2A, FOS, HMOX1, IKBKE, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, JUN, LBP, MAP4K4, MAPK13, NFKB2, NFKBIA, SOCS3	no direction
Nicotine Degradation III	5.64	-1.5	0.34	CYP1A2, CYP1B1, CYP2A6 (includes others), CYP2B6, Cyp2c40 (includes others), CYP2E1, CYP3A7, CYP4F8, CYP51A1, LARGE2, UGT2A3, UGT2B10, UGT2B17, UGT2B28, UGT2B7, UGT3A1	negative
Estrogen Biosynthesis	5.63	0	0.378	Akr1b7, AKR1C4, CYP1A2, CYP1B1, CYP2A6 (includes others), CYP2B6, Cyp2c40 (includes others), CYP2E1, CYP3A7, CYP4F8, CYP51A1, HSD17B13, HSD17B2, HSD17B7	no direction
Xenobiotic Metabolism PXR Signaling Pathway	5.42	-0.845	0.207	ABCC3, ALDH18A1, ALDH1A3, ALDH3B1, ALDH4A1, ALDH6A1, CAT, CES1, Ces1e, CES3, CHST11, CHST12, CHST3, CYP2B6, CYP3A7, Gstm3, GSTM5, GSTP1, GSTT2/GSTT2B, GSTZ1, MAOB, MGST3, NOS2, PPP1R3C, PRKAG2, PRKAR2B, SMOX, SULT1B1, SULT1C2, Sult1d1, SULT2A1, UGT2B10, UGT2B17, UGT2B28, UGT2B7	negative
Stearate Biosynthesis I (Animals)	5.36	0.5	0.327	ACOT1, ACOT2, ACOT4, ACOT9, ACSL1, ACSL4, Ces1e, CYP2E1, DBT, DHCR24, ELOVL1, ELOVL6, FASN, LPCAT4, PORCN, ZADH2	positive
Xenobiotic Metabolism CAR Signaling Pathway	5.18	-0.343	0.205	ABCC3, ALDH18A1, ALDH1A3, ALDH3B1, ALDH4A1, ALDH6A1, CHST11, CHST12, CHST3, CYP1A2, Cyp2b13/Cyp2b9, CYP2B6, CYP3A7, EGFR, FMO1, FMO2, Gstm3, GSTM5, GSTP1, GSTT2/GSTT2B, GSTZ1, MGST3, NOS2, PPP2R2B, PPP2R5B, SOD3, SULT1B1, SULT1C2, Sult1d1, SULT2A1, UGT2B10, UGT2B17, UGT2B28, UGT2B7	negative
FXR/RXR Activation	4.89	0	0.226	A1BG, ABCB4, ABCG5, ABCG8, APOA4, APOF, BAAT, CLU, FASN, FOXA2, HPX, IL1B, IL1RN, IL36G, PCK2, PLTP, PON1, PPARA, SAA1, SDC1, SERPINA1, SLC22A7, SLC51B, SREBF1, SULT2A1, TTR	no direction
Hepatic Fibrosis / Hepatic Stellate Cell Activation	4.45	0	0.19	BAX, CD14, COL26A1, COL5A2, COL5A3, COL6A2, COL6A6, CXCL3, CYP2E1, EGFR, FAS, FGF1, ICAM1, IGF1, IGFBP3, IGFBP5, IL18RAP, IL1B, IL1R2, IL1RAP, IL6R, KLF6, LBP, LEPR, MMP2, MYH10, MYL4, NFKB2, NGFR, PDGFA, PROK1, SERPINE1, TIMP1, TNFRSF1A	no direction
Zymosterol Biosynthesis	4.44	2.236	0.833	CYP51A1, HSD17B7, MSMO1, NSDHL, TM7SF2	positive
Xenobiotic Metabolism AHR Signaling Pathway	4.29	0.688	0.247	ABCG2, AHR, ALDH18A1, ALDH1A3, ALDH3B1, ALDH4A1, ALDH6A1, CYP1A2, CYP1B1, Gstm3, GSTM5, GSTP1, GSTT2/GSTT2B, GSTZ1, IL1B, MGST3, NFKB2, NQO2, PON1	positive
PXR/RXR Activation	4.14	0	0.267	ABCC3, Aldh1a7, CES3, CYP1A2, CYP2A6 (includes others), CYP2B6, CYP3A7, FOXO3, HMGCS2, IGFBP1, PAPSS2, PCK2, PPARA, PRKAG2, PRKAR2B, SULT2A1	no direction
Bupropion Degradation	4.12	-0.333	0.409	CYP1A2, CYP1B1, CYP2A6 (includes others), CYP2B6, Cyp2c40 (includes others), CYP2E1, CYP3A7, CYP4F8, CYP51A1	negative
Atherosclerosis Signaling	4.1	0	0.212	ALOX5, APOA4, APOF, CCR2, CLU, COL5A3, CXCL12, ICAM1, IL1B, IL1RN, IL36G, ITGB2, LYZ, NFKB2, PDGFA, PLA2G7, PON1, S100A8, SELE, SELP, SELPLG, SERPINA1, TNFRSF12A, TNFSF14	no direction
Estrogen-Dependent Breast Cancer Signaling	4.09	0.302	0.247	Akr1b7, AKR1C4, EGFR, ESR1, FOS, HSD17B13, HSD17B2, HSD17B7, IGF1, JUN, NFKB2, PIK3R1, PIK3R5, RASD1, RRAS, STAT5A, STAT5B, TERT	positive
Glucose and Glucose-1-phosphate Degradation	4.04	0.447	0.6	HK1, HK3, HKDC1, PGM2, PGM5, RGN	positive
Acetone Degradation I (to Methylglyoxal)	3.93	-0.632	0.357	CYP1A2, CYP1B1, CYP2A6 (includes others), CYP2B6, Cyp2c40 (includes others), CYP2E1, CYP3A7, CYP4F8, CYP51A1, ZADH2	negative
IL-8 Signaling	3.87	3.651	0.178	ARRB2, BAX, CXCR2, CYBB, EGFR, FOS, GNA12, HBEGF, HMOX1, ICAM1, IKBKE, IRAK3, ITGAM, ITGB2, JUN, MAP4K4, MMP2, MPO, MYL12B, NCF1, NCF2, PIK3R1, PIK3R5, PLD3, Pld6, PROK1, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS	positive
Valine Degradation I	3.82	-2.828	0.421	ACADSB, ALDH6A1, AUH, BCKDHA, BCKDHB, DBT, HIBADH, HIBCH	negative
Triacylglycerol Biosynthesis	3.77	1.732	0.3	AGPAT4, DBT, DGAT2, ELOVL1, ELOVL6, LPCAT1, LPCAT4, LPIN1, PLPP2, PLPP3, PLPPR2, PORCN	positive
Role of Tissue Factor in Cancer	3.73	0	0.205	ARRB2, BLK, EGFR, EGR1, F2RL1, FGR, GNA12, GNA14, GNA15, HBEGF, HCK, IL1B, ITGA3, ITGA6, MAPK13, PAK1, PIK3R1, PIK3R5, PLAUR, RASD1, RRAS, STAT5A, STAT5B	no direction
Coagulation System	3.7	0.302	0.314	F11, F13A1, F13B, KLKB1, PLAT, PLAUR, SERPINA1, SERPINA5, SERPIND1, SERPINE1, VWF	positive
Leukocyte Extravasation Signaling	3.7	2.132	0.176	ARHGAP9, CLDN1, CLDN12, Cldn13, CLDN15, CLDN2, CLDN23, CLDN4, CLDN7, CXCL12, CYBA, CYBB, ICAM1, ITGA3, ITGAM, ITGB2, MAPK13, MMP12, MMP15, MMP19, MMP2, MMP23B, MMP8, NCF1, NCF2, NCF4, PIK3R1, PIK3R5, RAC2, RAPGEF4, SELPLG, SPN, TIMP1	positive
Neuroinflammation Signaling Pathway	3.66	2.92	0.159	ACVR1B, BACE2, BIRC3, CD86, CX3CL1, CX3CR1, CXCL10, CXCL12, CYBB, FAS, FOS, FZD1, GLUL, GRIN3B, GRINA, HLA-A, HMOX1, ICAM1, IKBKE, IL1B, IL6R, IRAK3, JAK3, JUN, MAPK13, MAPT, MFGE8, NCF1, NCF2, NFKB2, NGF, NLRP3, NOS2, PIK3R1, PIK3R5, S100G, SLC1A2, SLC6A11, SNCA, Tlr13, TLR2, TNFRSF1A, TREM2, TYROBP	positive
Toll-like Receptor Signaling	3.65	2.309	0.236	CD14, FOS, IL1B, IL1RN, IL36G, IRAK3, JUN, LBP, MAP4K4, MAPK13, NFKB2, NFKBIA, PPARA, TLR2, TNFAIP3, TRAF4, UBD	positive
Tec Kinase Signaling	3.65	2.558	0.182	BLK, FAS, FCER1G, FGR, FOS, GNA12, GNA14, GNA15, GNAT1, HCK, ITGA3, ITGA6, ITGB2, JAK3, NFKB2, PAK1, PIK3R1, PIK3R5, RAC2, RHOBTB1, RHOC, RHOU, RHOV, RND2, STAT4, STAT5A, STAT5B, STAT6, TNFRSF10A, TNFRSF21	positive
Aryl Hydrocarbon Receptor Signaling	3.6	0.905	0.191	AHR, ALDH18A1, ALDH1A3, ALDH3B1, ALDH4A1, ALDH6A1, BAX, CTSD, CYP1A2, CYP1B1, DCT, ESR1, FAS, FOS, Gstm3, GSTM5, GSTP1, GSTT2/GSTT2B, GSTZ1, IL1B, JUN, MGST3, NFKB2, NQO2, RARB, TFF1	positive
Hepatic Cholestasis	3.55	0	0.177	ABCB4, ABCC3, ABCG5, ABCG8, ADCY2, CD14, CLCF1, ESR1, HSD3B7, IKBKE, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, IRAK3, JUN, LBP, LIF, NFKB2, NFKBIA, NGFR, PPARA, PRKAG2, PRKAR2B, SLC22A7, SLCO3A1, SREBF1, TNFRSF1A, TNFSF14	no direction
IL-6 Signaling	3.51	2.4	0.195	CD14, CEBPB, FOS, IKBKE, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, IL6R, JUN, LBP, MAP4K4, MAPK13, NFKB2, NFKBIA, NGFR, PIK3R1, PIK3R5, RASD1, RRAS, SOCS3, TNFRSF1A	positive
Thyroid Hormone Metabolism II (via Conjugation and/or Degradation)	3.47	-2.333	0.346	LARGE2, SULT1B1, Sult1d1, UGT2A3, UGT2B10, UGT2B17, UGT2B28, UGT2B7, UGT3A1	negative
IL-17A Signaling in Fibroblasts	3.39	0	0.312	CEBPB, CEBPD, FOS, IKBKE, JUN, LCN2, MAPK13, NFKB2, NFKBIA, NFKBIZ	no direction
Tumor Microenvironment Pathway	3.38	1.826	0.175	CXCL12, FAS, FGF1, FOS, FOXO3, HLA-A, ICAM1, IDO2, IGF1, IL1B, IL6R, JUN, LEPR, MMP12, MMP15, MMP19, MMP2, MMP23B, MMP8, NFKB2, NOS2, PDGFA, PIK3R1, PIK3R5, PROK1, RASD1, RRAS, SLC2A3, SLC2A4, TNFRSF1A	positive
NRF2-mediated Oxidative Stress Response	3.37	2	0.173	CAT, CBR1, DNAJC10, ENC1, EPHX1, FKBP5, FMO1, FOS, FTL, GCLC, GSR, Gstm3, GSTM5, GSTP1, GSTT2/GSTT2B, GSTZ1, HMOX1, HSPB8, JUN, JUNB, JUND, MAFF, MAFK, MGST3, NQO2, PIK3R1, PIK3R5, RASD1, RRAS, SOD3, TXNRD1	positive
TREM1 Signaling	3.37	2	0.232	CD83, CD86, CXCL3, ICAM1, IL1B, MPO, NFKB2, NLRP12, NLRP3, NLRP6, STAT5A, STAT5B, Tlr13, TLR2, TREM1, TYROBP	positive
Osteoarthritis Pathway	3.36	1.732	0.166	ADAMTS4, ALPL, ANXA2, ANXA5, CASP4, CASQ1, CCN4, CEBPB, CXCR2, DCN, ELF3, FOXO3, FRZB, FZD1, FZD8, HTRA1, IL18RAP, IL1B, IL1R2, IL1RAP, ITGA3, ITGA6, ITGB2, MMP12, NAMPT, NFKB2, NOS2, PRKAA2, PRKAG2, PROK1, S100A8, S100A9, SLC39A8, TLR2, TNFRSF1A	positive
Hepatic Fibrosis Signaling Pathway	3.33	3.286	0.146	ACVR1B, CEBPB, COL5A3, CYBB, FOS, FTL, FZD1, FZD8, ICAM1, IKBKE, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, IRAK3, ITGA3, ITGA6, ITGB2, JUN, LEPR, MAPK13, MYL12A, MYL12B, MYL4, MYLK, NCF1, NCF2, NFKB2, NFKBIA, NGFR, PDCD4, PDGFA, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, PROK1, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS, SERPINE1, SUCNR1, TIMP1, TNFRSF1A, WNT2, WNT5A	positive
GDP-glucose Biosynthesis	3.22	1	0.556	HK1, HK3, HKDC1, PGM2, PGM5	positive
Dopamine Degradation	3.16	-0.707	0.348	ALDH1A3, ALDH3B1, Aldh3b3, ALDH4A1, MAOB, SMOX, SULT1B1, Sult1d1	negative
Trehalose Degradation II (Trehalase)	3.04	0	0.667	HK1, HK3, HKDC1, TREH	no direction
Xenobiotic Metabolism General Signaling Pathway	3.04	0.816	0.182	AHR, FTL, GCLC, Gstm3, GSTM5, GSTP1, GSTT2/GSTT2B, GSTZ1, HMOX1, MAP3K6, MAP3K8, MAPK13, MGST3, NQO2, PIK3R1, PIK3R5, PPARA, RASD1, RRAS, SLC51B, UGT2B10, UGT2B17, UGT2B28, UGT2B7	positive
PPAR Signaling	2.99	-2.524	0.194	FOS, IKBKE, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, JUN, MAP4K4, NFKB2, NFKBIA, NGFR, PDGFA, PPARA, RASD1, RRAS, STAT5A, STAT5B, TNFRSF1A	negative
HIF1α Signaling	2.93	2.475	0.162	ADM, ADRA1B, CYBB, GPI, HK1, HK3, HMOX1, Hspa1b, IGF1, IL6R, JUN, LDHB, MMP12, MMP15, MMP19, MMP2, MMP23B, MMP8, NCF1, NCF2, NOS2, PIK3R1, PIK3R5, PKM, PROK1, RASD1, RORC, RRAS, SERPINE1, SLC2A3, SLC2A4, VIM	positive
CDK5 Signaling	2.89	1.213	0.19	ADCY2, CAPN1, EGR1, FOSB, ITGA3, ITGA6, LAMA5, MAPK13, MAPT, NGF, NGFR, NTRK2, PPP1R1B, PPP1R3C, PPP2R2B, PPP2R5B, PRKAG2, PRKAR2B, RASD1, RRAS	positive
Glutathione Redox Reactions I	2.84	1.89	0.35	GPX3, GPX4, GSR, GSTP1, GSTT2/GSTT2B, GSTZ1, MGST3	positive
Apelin Adipocyte Signaling Pathway	2.83	-0.258	0.208	ADCY2, APLNR, CAT, CYBB, GPX3, GPX4, GSTP1, GSTT2/GSTT2B, GSTZ1, MAPK13, MGST3, NCF1, NCF2, PRKAA2, PRKAG2, PRKAR2B	negative
Role of Macrophages, Fibroblasts and Endothelial Cells in Rheumatoid Arthritis	2.82	0	0.146	ADAMTS4, C5AR1, CEBPB, CEBPD, CEBPE, CXCL12, F2RL1, FCGR1A, FOS, FRZB, FZD1, FZD8, ICAM1, IKBKE, IL18R1, IL18RAP, IL1B, IL1R2, IL1RAP, IL1RN, IL36G, IL6R, IRAK3, JUN, MIF, NFKBIA, NGFR, NOS2, NOTUM, PDGFA, PIK3R1, PIK3R5, PROK1, RASD1, RRAS, SELE, SOCS3, Tlr13, TLR2, TNFRSF1A, TRAF4, WIF1, WNT2, WNT5A	no direction
iNOS Signaling	2.77	3.162	0.25	CD14, FOS, IKBKE, IRAK3, JAK3, JUN, LBP, MAPK13, NFKB2, NFKBIA, NOS2	positive
Ethanol Degradation II	2.76	-0.707	0.308	ACSL1, ACSS3, ADH4, ALDH1A3, ALDH3B1, Aldh3b3, ALDH4A1, DHRS9	negative
IL-12 Signaling and Production in Macrophages	2.76	0	0.183	APOA4, APOF, CEBPB, CLU, FOS, IKBKE, JUN, LYZ, MAP3K8, MAPK13, NFKB2, NOS2, PIK3R1, PIK3R5, PON1, S100A8, SERPINA1, SPI1, STAT4, STAT6, TLR2	no direction
VDR/RXR Activation	2.76	0.632	0.205	CAMP, CD14, CEBPB, CXCL10, HSD17B2, IGFBP1, IGFBP3, IGFBP5, KLF4, MXD1, PDGFA, S100G, SEMA3B, SERPINB1, SULT2A1, WT1	positive
Ketogenesis	2.73	-0.447	0.455	ACAT1, ACAT2, BDH1, HMGCS1, HMGCS2	negative
Ethanol Degradation IV	2.7	-1.134	0.333	ACSL1, ACSS3, ALDH1A3, ALDH3B1, Aldh3b3, ALDH4A1, CAT	negative
Amyotrophic Lateral Sclerosis Signaling	2.63	1	0.189	BAX, BIRC3, CAPN1, CAPN5, CAT, GLUL, GRIA2, GRIA3, GRID1, GRIN3B, GRINA, IGF1, PAK1, PIK3R1, PIK3R5, PROK1, PRPH, SLC1A2	positive
PI3K/AKT Signaling	2.58	1.732	0.158	CSF2RB, CXCR2, EPM2A, FOXO3, GDF15, GHR, IFNLR1, IKBKE, IL15RA, IL17RB, IL18R1, IL18RAP, IL1R2, IL3RA, IL6R, INPP5J, ITGA3, ITGA6, ITGB2, JAK3, MAP3K8, NFKB2, NFKBIA, PIK3R1, PPP2R2B, PPP2R5B, RASD1, RRAS, YWHAZ	positive
STAT3 Pathway	2.56	1.069	0.17	CDC25A, CSF2RB, CXCR2, EGFR, GHR, IFNLR1, IGF1, IL15RA, IL17RB, IL18R1, IL18RAP, IL1B, IL1R2, IL3RA, IL6R, MAPK13, NGFR, NTRK2, PIM1, RASD1, RRAS, SOCS3, TNFRSF11A	positive
Branched-chain α-keto acid Dehydrogenase Complex	2.54	0	0.75	BCKDHA, BCKDHB, DBT	no direction
Bile Acid Biosynthesis, Neutral Pathway	2.53	-1.342	0.417	AKR1C4, AKR1D1, BAAT, HSD3B7, SCP2	negative
Oxidative Ethanol Degradation III	2.52	-0.816	0.353	ACSL1, ACSS3, ALDH1A3, ALDH3B1, Aldh3b3, ALDH4A1	negative
Dendritic Cell Maturation	2.52	2.858	0.163	CD83, CD86, COL5A3, FCER1G, FCGR1A, FCGR2A, HLA-A, ICAM1, IKBKE, IL1B, IL1RN, IL36G, LEPR, MAPK13, NFKB2, NFKBIA, NGFR, NOTUM, PIK3R1, PIK3R5, RELB, STAT4, TLR2, TNFRSF1A, TREM2, TYROBP	positive
Signaling by Rho Family GTPases	2.48	3.657	0.147	ARHGEF5, ARHGEF9, ARPC1B, CDC42EP5, CDH18, CIT, CYBB, DES, FOS, GFAP, GNA12, GNA14, GNA15, GNAT1, ITGA3, ITGA6, ITGB2, JUN, MYL12A, MYL12B, MYL4, MYLK, NCF1, NCF2, NFKB2, PAK1, PIK3R1, PIK3R5, RAC2, RHOBTB1, RHOC, RHOU, RHOV, RND2, SEPTIN5, VIM	positive
HMGB1 Signaling	2.48	3.3	0.163	CLCF1, FOS, ICAM1, IL1B, IL36G, JUN, LIF, MAPK13, NFKB2, NGFR, PIK3R1, PIK3R5, PLAT, RAC2, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS, SELE, SERPINE1, TNFRSF1A, TNFSF14	positive
Phagosome Formation	2.48	0	0.174	C5AR1, CLEC7A, FCER1G, FCGR1A, FCGR2A, ITGA3, ITGA6, ITGAM, ITGB2, MARCO, NOTUM, PIK3R1, PIK3R5, RAC2, RHOBTB1, RHOC, RHOU, RHOV, RND2, Tlr13, TLR2	no direction
Colorectal Cancer Metastasis Signaling	2.45	1.915	0.146	ADCY2, BAX, EGFR, FOS, FZD1, FZD8, IL6R, JAK3, JUN, MMP12, MMP15, MMP19, MMP2, MMP23B, MMP8, NFKB2, NOS2, PIK3R1, PIK3R5, PRKAG2, PRKAR2B, PROK1, RAC2, RALGDS, RASD1, RHOBTB1, RHOC, RHOU, RHOV, RND2, RRAS, Tlr13, TLR2, TNFRSF1A, WNT2, WNT5A	positive
Glycolysis I	2.44	2.646	0.304	ALDOA, ALDOC, ENO2, GPI, PFKP, PKM, TPI1	positive
Tryptophan Degradation X (Mammalian, via Tryptamine)	2.44	0	0.304	AKR1B10, ALDH1A3, ALDH3B1, Aldh3b3, ALDH4A1, MAOB, SMOX	no direction
Vitamin-C Transport	2.44	0.447	0.304	AKR1C4, LRRC8D, LRRC8E, SLC23A1, SLC2A3, SLC2A4, TXNRD1	positive
Noradrenaline and Adrenaline Degradation	2.43	0	0.276	ADH4, ALDH1A3, ALDH3B1, Aldh3b3, ALDH4A1, DHRS9, MAOB, SMOX	no direction
Role of IL-17A in Psoriasis	2.43	0	0.5	CCL20, CXCL3, S100A8, S100A9	no direction
Sucrose Degradation V (Mammalian)	2.43	1	0.5	ALDOA, ALDOC, KHK, TPI1	positive
Glucocorticoid Receptor Signaling	2.39	0	0.131	ANXA1, ARG2, CSF2RB, CXCL3, CXCR2, DUSP1, EGFR, ESR1, FCGR1A, FKBP5, FOS, FOXO3, GHR, HP, Hspa1b, ICAM1, IFNLR1, IGF1, IKBKE, IL15RA, IL17RB, IL18R1, IL18RAP, IL1B, IL1R2, IL1RN, IL3RA, IL6R, JAK3, JUN, KRT14, KRT18, KRT25, KRT8, MAPK13, MMP2, MMP8, NFKBIA, NOS2, PCK2, PDK4, PIK3R1, PIK3R5, PRKAA2, PRKAG2, RASD1, RRAS, SELE, SERPINE1, SLPI, STAT5A, STAT5B, TAF7, TLR2, TSC22D3, VIPR1	no direction
Leukotriene Biosynthesis	2.35	2.236	0.385	ALOX5, DPEP2, GGT1, GGT5, MGST3	positive
Putrescine Degradation III	2.25	0	0.316	ALDH1A3, ALDH3B1, Aldh3b3, ALDH4A1, MAOB, SMOX	no direction
Regulation of Actin-based Motility by Rho	2.25	3.051	0.179	ARHGDIA, ARPC1B, GSN, ITGA3, ITGA6, ITGB2, MYL12A, MYL12B, MYL4, MYLK, PAK1, RAC2, RHOBTB1, RHOC, RHOU, RHOV, RND2	positive
Triacylglycerol Degradation	2.24	-2.53	0.227	ABHD2, CES1, Ces1b/Ces1c, Ces1e, Ces2a, CES3, MGLL, NOTUM, PNLIPRP1, PNPLA2	negative
Acyl-CoA Hydrolysis	2.19	-0.447	0.357	ACOT1, ACOT2, ACOT4, ACOT9, Ces1e	negative
