analysis	regulator	fc	type	state	zscore	Notes	bias	bias_zscore	pvalue	target
ndr_vs_wt_all - 2020-11-20 05:39 PM	NPC1	0.032	transporter	Inhibited	-2.102	0	-0.134	-1.669	3.85e-17	ABCA1, ABCG8, ACKR4, AKR1C4, ALPL, CAMP, CCL3L3, CCR1, CCR2, CD68, CD79B, CTSD, CYP51A1, EGR1, GATA1, GUSB, HMGCR, HMGCS1, IDI1, KLF4, LDLR, LGALS3, LSS, LYZ, MMP15, MMP8, MVD, MVK, NPC2, OSBPL3, PCSK9, S100A8, S100A9, SNCA, SREBF1, SREBF2, STAT4
ndr_vs_wt_all - 2020-11-20 05:39 PM	IL1B	0.886	cytokine	Activated	4.374	0	0.159	3.332	4.93e-16	ADAM8, ATF3, BIRC3, BTG2, CASP4, Ccl2, CCL20, CSF2RB, CSRNP1, CXCL2, CXCL3, CYBB, EGR1, FAS, FKBP5, FOS, FOSB, GBP6, HP, ICAM1, IGF1, IL1B, ITGAM, JUN, LBP, LIF, MAP3K8, MMP8, Mt1, NFKBIA, NFKBIZ, NOS2, NR4A1, PLSCR1, RGS16, S100A8, SAA1, Saa3, SDC1, SELE, SERPINA3, SLC2A4, Slco1a4, SOCS3, SUCNR1, TIMP1, TLR2, TNFAIP3, TSC22D3, VCAN, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	STAT5B	-0.663	transcription regulator	0	0.423	0	-0.027	0.633	6.17e-16	A1BG, ABCD2, Acnat1/Acnat2, ACOT1, Acot1, ACOT4, Aldh3b3, BAX, BIRC3, BMF, CASP4, CBR1, CCL3L3, Cdkn1c, CYP17A1, CYP26B1, Cyp2a12/Cyp2a22, CYP2A6 (includes others), Cyp2b13/Cyp2b9, CYP2B6, Cyp2d9 (includes others), CYP39A1, DAPK1, EGFR, FAM89A, FAS, FMO2, GADD45B, GSTP1, HAO2, IGF1, Keg1, LAMA3, MTMR11, Mup1 (includes others), MZB1, NNMT, NT5E, Pcp4l1, PDK4, PDZRN3, PLTP, PRLR, PROM1, RAB30, S100G, SLC34A2, SLC47A1, SLC51B, Slco1a4, SULT2A1, Sult2a2, SYBU, TMEM98, TNFRSF11A, TNFRSF1A, TNNT1, TRAF4, TREM3, UGT2B28, VNN1, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	TICAM1	0.391	other	Activated	3.972	0	0.25	2.4	2.55e-15	ACOD1, ACSL1, Apol7e (includes others), BCL3, CASP4, Ccl2, CCL3L3, CCRL2, CD86, CEBPD, CXCL10, CXCL2, CXCL3, DUSP1, EGR1, FAS, FPR2, GDF15, ICAM1, ICOSLG/LOC102723996, IFI16, Igtp, IKBKE, IL15RA, IL18BP, IL1B, Irgm1, ISG20, MAFF, MEFV, Ms4a4c (includes others), NFKB2, NFKBIA, NFKBIZ, OASL, RELB, RSAD2, SERPINE1, SLC7A2, SOCS3, TLR2, TNFAIP3, TREM1, TSC22D1
ndr_vs_wt_all - 2020-11-20 05:39 PM	NR1I3	0.016	ligand-dependent nuclear receptor	0	0.517	0	0.221	-0.746	3.44e-15	ABCC3, AHR, Aldh1a7, CCN4, Ces2a, CYP1A2, CYP2A6 (includes others), Cyp2b13/Cyp2b9, CYP2B6, CYP39A1, EI24, EPHX1, FASN, GADD45B, Gstm3, GSTM5, GSTP1, HK1, ICAM1, INSIG1, LEAP2, LRG1, MAFF, Mt1, NEDD9, PAPSS2, PGD, RARRES1, Slco1a4, SREBF1, STEAP4, Sult1d1, SULT2A1, TMPRSS2, TNFRSF1A, UGT2B17, UGT2B28
ndr_vs_wt_all - 2020-11-20 05:39 PM	GPD1	-0.206	enzyme	0	0	0	0	0	5.17e-15	ACLY, Acnat1/Acnat2, ACOT2, ADGRF1, Akr1b7, ALPL, ANXA2, APOA4, ASNS, C11orf86, C6, CD63, CGREF1, CHRNA4, Cyp2b13/Cyp2b9, CYP2B6, CYP39A1, EGFR, ELOVL6, F11, HAO1, LHX6, LIFR, MTHFD1L, Mug1/Mug2, Mup1 (includes others), PI4K2B, PSAT1, RARRES1, SERPINA3, Serpina3b/Serpina3j, SERPINA7, SERPINB1, SUCNR1, Sult2a8, UGT2B17, Wfdc21
ndr_vs_wt_all - 2020-11-20 05:39 PM	SRF	0.171	transcription regulator	Inhibited	-2.228	0	0.099	-2.831	7.3e-15	ANKRD1, CAMP, CD177, CEBPE, CLDN1, CLDN12, CLDN15, CSRP1, CTSG, DES, DMKN, EGR1, EGR2, ELANE, FLNA, FOS, FST, GATA1, GSN, GSTM5, IGF1, ITGA2B, ITGA6, ITGAM, JUNB, LAMA3, LCN2, LTF, MAPK13, MOGAT2, MS4A3, MYL4, MYLK, Ngp, NR4A1, PDLIM7, PGLYRP1, PRTN3, S100A8, S100A9, Saa3, SELP, SERPINB10, SLPI, TAL1, TMEM40, TNNT1, Tpm1, WDR1, WT1
ndr_vs_wt_all - 2020-11-20 05:39 PM	SH3TC2	0.363	other	Activated	3.578	0	0.223	2.582	9.86e-15	AACS, ACLY, ACSL1, CYP51A1, DHCR24, DHCR7, EGR1, EGR2, FDPS, HMGCR, HMGCS1, HSD17B7, IDI1, LSS, MBP, MVD, MVK, NSDHL, PMVK, SQLE
ndr_vs_wt_all - 2020-11-20 05:39 PM	SLC25A13	-0.057	transporter	0	0	0	0	0	1.14e-14	ACLY, Acnat1/Acnat2, ACOT2, ADGRF1, Akr1b7, ALPL, ANXA2, APOA4, ASNS, C11orf86, C6, CD63, CGREF1, CHRNA4, Cyp2b13/Cyp2b9, CYP2B6, CYP39A1, EGFR, ELOVL6, F11, HAO1, LHX6, LIFR, MTHFD1L, Mug1/Mug2, Mup1 (includes others), PI4K2B, PSAT1, RARRES1, SERPINA3, Serpina3b/Serpina3j, SERPINA7, SERPINB1, SUCNR1, Sult2a8, UGT2B17, Wfdc21
ndr_vs_wt_all - 2020-11-20 05:39 PM	MRTFA	0.539	transcription regulator	Inhibited	-2.501	0	-0.013	-2.43	1.97e-14	ANKRD1, CAMP, CAVIN2, CD177, CEBPE, CLDN15, COX7A1, CTSG, CYBA, DHCR24, DMKN, EGR1, ELANE, FLNA, GSTM5, HLA-A, ICAM1, Ifitm1, ITGA6, LCN2, LILRB4, LMNA, LTF, MAFK, MAPK13, MOGAT2, MS4A3, Ngp, PGLYRP1, PRTN3, S100A8, S100A9, Saa3, SELE, SELP, SERPINB10, SERPINE1, SLC20A1, SLC35D3, SLPI, TAL1
ndr_vs_wt_all - 2020-11-20 05:39 PM	CFTR	0.002	ion channel	Inhibited	-4.647	0	-0.02	-4.541	2.79e-14	ABCA1, Acaa1b, ASNS, BLNK, CAPG, CYP2B6, Cyp2c40 (includes others), Cyp2d26, Cyp2d9 (includes others), Cyp3a25 (includes others), FABP2, FDFT1, FDPS, GSR, HADH, HPGD, HSD17B2, IDI1, LRG1, NFKBIZ, NOS2, PGLYRP1, S100A8, SAA1, Saa3, Scd2, SCP2, SLFN12L, Slfn2, SOCS3, SQLE
ndr_vs_wt_all - 2020-11-20 05:39 PM	MRTFB	0.05	transcription regulator	Inhibited	-3.028	0	-0.024	-2.904	3.79e-14	ANKRD1, CAMP, CAVIN2, CD177, CEBPE, CLDN15, CTSG, CYBA, DHCR24, DMKN, EGR1, ELANE, FLNA, GSTM5, HLA-A, Ifitm1, ITGA6, LCN2, LILRB4, LMNA, LTF, MAFK, MAPK13, MOGAT2, MS4A3, Ngp, PGLYRP1, PRTN3, S100A8, S100A9, Saa3, SELP, SERPINB10, SERPINE1, SLC20A1, SLC35D3, SLPI, TAL1
ndr_vs_wt_all - 2020-11-20 05:39 PM	STAT6	0.358	transcription regulator	0	-0.026	0	0.016	-0.153	3.9e-14	Acot1, ACSL1, ADAP1, ANXA1, AUH, BAX, BCL3, Ccl2, CCL20, CCL3L3, Ccl6, Cd24a, CD79B, CIDEC, Clca3a1/Clca3a2, CLDN2, Cmah, CST7, CXCL10, CXCL2, CXCL3, CYB561A3, CYBB, EGR1, EGR2, EPHX1, FABP4, FASN, FCGR2A, GADD45B, GBP6, Gm12854/S100a11, GNA15, HCK, HMGCR, HMGCS2, IFI16, Igtp, IL18R1, IL1B, IRAK3, Irgm1, ISG20, LACC1, LIFR, LILRB4, Ly6a (includes others), MMP12, MMP2, MPEG1, Ms4a4c (includes others), MVK, NEDD9, NFKBIA, OASL, PDGFA, PDK4, PLS1, PLSCR1, PNPLA2, PPARA, PSTPIP1, RAB30, RIPK3, SAMSN1, Scd2, SERPINA1, SERPINB6, STAT4, STAT5A, STAT5B, STAT6, TES, TIMP1, TMEM176B, TNFRSF11A, VIM
ndr_vs_wt_all - 2020-11-20 05:39 PM	IKBKB	-0.003	kinase	Activated	3.025	0	0.137	2.049	3.9e-14	ABCA1, ACOD1, AEBP1, AMPD3, ANKRD1, ATF3, Ccl2, CCL3L3, CCR1, CEBPB, CEBPD, CLU, CP, CTSZ, CX3CL1, CXCL10, CXCL12, CXCL2, CXCL3, CYBA, CYP1B1, DCN, FAS, FOS, GM2A, HLA-A, HMOX1, ICAM1, IFI16, IGFBP2, IL1B, IL1RN, JUNB, LCN2, LIFR, MBP, Mt1, MYO1D, NFKB2, NFKBIA, NGF, NOS2, NR6A1, PLD3, RELB, RGS16, S100A4, Saa3, SLC16A2, Slfn2, SOCS3, SOD3, TMEM176B, VCAN
ndr_vs_wt_all - 2020-11-20 05:39 PM	TP73	0	transcription regulator	Inhibited	-2.49	0	-0.025	-2.319	7.19e-14	ADAM23, AFP, ANGPTL4, ARHGAP22, ATF3, CASP4, Ccl2, Ccl6, CCN5, CD83, CLEC7A, CTSD, CX3CL1, CXCL10, CXCL2, CXCL3, DAB1, EGR1, FAM78B, FOXO3, FST, GATA1, GPNMB, HBEGF, HPSE, HSPB8, IGFBP3, IL1B, LCP1, LRG1, LYZ, MICOS10-NBL1/NBL1, MMP19, MMP2, MMP23B, MPZL2, NUPR1, P2RY2, PDGFA, PERP, PRKAG2, RELN, RIPOR3, SERPINA3, SERPINA5, Serpinb6b, SERPING1, TIMP1, TNFRSF12A, TREM2, TTR, ULK2
ndr_vs_wt_all - 2020-11-20 05:39 PM	Alpha catenin	0	group	Inhibited	-4.811	bias	-0.258	-3.224	1.08e-13	ADAM8, ADAMTS4, AREG, BCL3, BIRC3, COL5A2, COL6A2, CXCL10, CXCL12, CXCL2, IGF1, IGFBP1, IGFBP2, IL1B, IL36G, ITGAM, LYZ, MMP12, MMP19, MMP2, MMP23B, NFKBIA, NFKBIZ, RELB, RHOC, S100A8, S100A9, SAA1, Saa3, SELE, SOCS3, STEAP2, STEAP4, TIMP1, TNFAIP3, TNFRSF12A, TSPAN8, VIM, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	DUSP1	0.873	phosphatase	Inhibited	-2.814	0	-0.089	-2.366	1.1e-13	AACS, CAMP, Ccl2, CCL3L3, CD86, CIDEA, CIDEC, CXCL2, CXCL3, DUSP1, IER3, IL1B, IL1RN, LTF, MEFV, MGLL, MXD1, Ngp, NOS2, S100A9, SERPINE1, SPRYD7, SYNPO, VNN1, Wfdc21, ZFP36
ndr_vs_wt_all - 2020-11-20 05:39 PM	TP53	0.04	transcription regulator	0	0.032	0	0.02	-0.21	2.2e-13	ABCB4, ACACB, ACAT1, ACE, ACLY, ACSF2, ACSL1, ADAM8, AFP, AHCY, ALDH4A1, ALDOA, ANKRD1, ANXA1, AREG, ARRB2, ASTN2, ATF3, ATXN1, BAX, BTG2, CAP1, CAT, Ccl2, CCL3L3, CELSR1, Ces1b/Ces1c, CGREF1, CHST12, CLU, COL5A2, COL6A2, COX7A1, CP, CPT1B, CPT1C, CPT2, Crip2, CSRP1, CTSD, CXCL10, CXCL12, CXCL2, CXCL3, CXCR2, CXCR6, DAPK1, DBI, DBT, DDR1, DHCR24, DHRS9, DNAJC12, DNMT3B, DRAM1, DUSP1, EGFR, EI24, EMILIN1, ENTPD8, EPHX1, ESR1, ESRRG, FABP4, FAS, FASN, FKBP5, FMO1, FOS, FOXA2, FOXO3, G6PD, GADD45B, GATA1, GDF15, GLUL, GNA14, GPD1L, GPR12, GPX3, GSN, GSTM5, GSTP1, HADH, HBEGF, HMOX1, IER3, IER5, IFI16, IFI30, IGDCC4, IGF1, IGFBP2, IGFBP3, IGFBP5, IL1B, INMT, ITGA2B, KCNB1, KCNJ2, KCNN4, KRT14, KRT18, KRT8, LAMA5, LAMB2, LDHB, LDLR, LGALS3, LOX, LPIN1, LRRC17, LTB4R, LYZ, MAPRE3, MCAM, MGMT, MMP2, MMP23B, MVP, MYH10, MYL4, NAMPT, NCF1, NFAM1, NLRP12, NOS2, NOXA1, NPTX1, NR6A1, PAK1, PAWR, PCCA, PDGFA, PDIA5, PDK3, PERP, PGD, PGLYRP2, PIK3R1, PIK3R5, PKM, PPARA, PRKAG2, PSMD8, RAC2, RNASE4, SERPINA3, Serpina3g (includes others), SERPINB6, SERPINE1, SGPL1, SLC2A4, SLC2A6, SLC2A9, SLC66A3, SPC25, SQOR, SREBF1, SUCLG1, TIMP1, TKT, TNFAIP8, TNFRSF10A, TNFRSF11A, TNFRSF1A, Tpm1, TRAF4, TRIB3, TSC22D3, UGDH, ULK2, UPP1, VCAN, VIM, WNT2
ndr_vs_wt_all - 2020-11-20 05:39 PM	APOE	-0.061	transporter	Inhibited	-2.719	0	-0.17	-1.845	2.39e-13	ABCA1, ABCG8, ACAT1, ATF3, BAX, BCAM, C5AR1, CAT, Ccl2, CCL3L3, CD68, CD86, CLU, CTSD, CXCL3, CYBB, EGR1, EMILIN1, F2RL1, FCGR1A, FKBP5, GPX3, GPX4, HMGCR, HMOX1, HSD11B1, Hspa1b, ICAM1, IGF1, IL1B, IL1RN, ITGA3, ITGAM, JUN, LCN2, LDLR, LIMS2, MMP2, MRTFA, NCF1, NCF2, NOS2, PCSK9, PLPP3, PPP1R15A, S100A8, S100A9, SELE, SERPINA3, SERPINE1, SOCS3, SREBF2, STAT4, STAT6, TIMP1, TNFRSF1A, TNFSF14, WNT2, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	CEBPB	0.47	transcription regulator	Activated	2.023	0	0.133	1.133	2.49e-13	AKR1B10, Akr1b7, ALOX5AP, APLNR, ARPP19, ASNS, BLNK, CCL3L3, CDC25A, CEBPB, CEBPD, COL5A2, CXCL3, Cyp2d9 (includes others), DAPK1, DGAT2, DHCR7, FABP4, FAS, FOS, FTL, FZD1, GFAP, GLIPR2, HDC, HP, HPX, HSD11B1, IER3, IGF1, IGFBP3, IL1B, INMT, IRAK3, JUN, LCN2, LEPR, LGMN, NOS2, Nrg1, NUPR1, PCTP, PLAUR, PPARA, PPP1R15A, PRLR, RAC2, SAA1, Saa3, SERPINA1, SERPINE1, SPRR1A, TRIB3, TUBB3, VCAN, ZKSCAN1, ZYX
ndr_vs_wt_all - 2020-11-20 05:39 PM	NFE2L2	0.076	transcription regulator	Activated	2.643	0	0.162	1.263	2.66e-13	ABCB4, ABCC3, ACE, AHR, AKR1B10, ALDOA, ANG, APOA4, ATF3, CA3, CAT, CBR1, Ccl2, CCL20, CD86, CREG1, CTSD, CXCL10, CXCL2, CXCL3, Cyp2a12/Cyp2a22, DHCR7, EPHX1, FABP4, FKBP5, FMO1, FOXO3, FTL, G6PD, GCLC, GFAP, GHR, GNA14, GSR, Gstm3, GSTM5, GSTP1, GSTT2/GSTT2B, HMBS, HMOX1, HSD3B1, ICAM1, IL1B, IL1R2, IL1RN, IL36G, INMT, LMNA, LY6E, MAS1, MGLL, MGST3, MMP12, MSMO1, Mt1, NOS2, NUCB2, P2RX4, PGD, PKIA, PSAT1, Ptprd, RELN, SAA1, SERPINA3, SERPINA6, SERPIND1, SLC16A2, SLC30A4, SOCS3, SOD3, SREBF1, SRXN1, TKT, TPI1, Tpm1, TTR, TXNRD1, UGDH, UGT2B28
ndr_vs_wt_all - 2020-11-20 05:39 PM	CHUK	-0.179	kinase	Activated	3.743	0	0.231	2.327	2.71e-13	ACOD1, AEBP1, AMPD3, CASP4, CCR1, CEBPB, CEBPD, CLDN23, CLU, CP, CTSZ, CX3CL1, CXCL10, CXCL12, CXCL2, CXCL3, CYBA, DCN, FAS, FOS, GM2A, HLA-A, IFI16, IL1RN, JUNB, LCN2, LIFR, Mt1, MXD1, NFKBIA, NGF, NR6A1, PLD3, RGS16, Saa3, SLC16A2, Slfn2, SOCS3, SOD3, TMEM176B
ndr_vs_wt_all - 2020-11-20 05:39 PM	IKBKG	0.132	kinase	Activated	3.297	0	0.2	2.069	3.93e-13	ACOD1, AEBP1, AMPD3, BAX, Ccl2, CCR1, CEBPB, CEBPD, CLDN23, CLU, CP, CTSZ, CX3CL1, CXCL12, CXCL2, DCN, FOS, GM2A, HLA-A, ICAM1, IFI16, IKBKE, IL1B, IL1RN, JUNB, LCN2, LIFR, Mt1, NGF, NR6A1, PLD3, PPARA, RGS16, Saa3, SLC16A2, Slfn2, SOCS3, SOD3, TMEM176B
ndr_vs_wt_all - 2020-11-20 05:39 PM	STAT3	0.091	transcription regulator	Activated	2.874	0	0.051	2.515	7.86e-13	ALDH1A3, AREG, BATF, BCL3, BOC, Ccl2, CCL20, CCL3L3, CCRL2, CD86, CD9, CEBPB, CLN6, CTF1, CXCL10, CXCL2, CXCL3, CXCR2, DUSP5, EGR1, EGR2, FASN, FCER1G, FOS, FST, GBP6, HLA-A, ICAM1, ICAM4, IFI16, IFI30, IGFBP1, IGFBP5, Igtp, IL1B, IL1RN, IL6R, Irgm1, ITGAM, ITGB2, JUNB, LTF, MMP2, NFKBIZ, NOS2, OASL, PEG10, PIM1, PROCR, PROK2, RORC, RSAD2, SAA1, SELP, SERPINA3, Serpina3g (includes others), SERPINE1, Slfn1, SLFN12L, Slfn2, SOCS3, SPI1, SREBF1, TIMP1, ZFP36
